"","year","name","link"
"70","2008:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2008/2008JMW.htm"
"71","2008:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2008/2008FinalStandings.htm"
"72","2008:","Coral Reef Cup","http://www.etchellsfleet20.org/results/2008/2008CRYC-Cup.pdf"
"73","2007:","Piana Cup (2006)","http://www.etchellsfleet20.org/results/2007/2007piana.htm"
"74","2007:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2007/2007doren.htm"
"75","2007:","Florida State Championship ","http://www.etchellsfleet20.org/results/2007/2007flstate.htm"
"76","2007:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2007/2007midwinters.htm"
"77","2007:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2007/2007overall.htm"
"78","2007:","Coral Reef Cup","http://www.etchellsfleet20.org/results/2007/2007CRYC-Cup.htm"
"79","2006:","Piana Cup (2005)","http://www.etchellsfleet20.org/results/2006/2006Piana.htm"
"80","2006:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2006/2006Doren.htm"
"81","2006:","Florida State Championship","http://www.etchellsfleet20.org/results/2006/2006flstate.htm"
"82","2006:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2006/2006midwinters.htm"
"83","2006:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2006/2006jagsummary.html"
"84","2005:","Piana Cup (2004)","http://www.etchellsfleet20.org/results/2005/2005piana.htm"
"85","2005:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2005/2005doren.htm"
"86","2005:","Florida State Championship","http://www.etchellsfleet20.org/results/2005/2005flstate.htm"
"87","2005:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2005/2005midwinters.htm"
"88","2005:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2005/2005Jag_Ovrl.htm"
"89","2004:","Piana Cup (2003)","http://www.etchellsfleet20.org/results/2004/2004piana.htm"
"90","2004:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2004/2004Doren.pdf"
"91","2004:","Florida State Championship ","http://www.etchellsfleet20.org/results/2004/2004FloidaState.htm"
"92","2004:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2004/2004midwinter.htm"
"93","2004:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2004/2004JaguarCupFinalResults.pdf"
"94","2003:","Piana Cup (2002)","http://www.etchellsfleet20.org/results/2003/2003piana.htm"
"95","2003:","South Atlantic","http://www.etchellsfleet20.org/results/2003/2003southatlantic.htm"
"96","2003:","Florida State Championship","http://www.etchellsfleet20.org/results/2003/2003flastate.htm"
"97","2003:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2003/2003JWM.htm"
"98","2002:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2002/2002%20jaguar_standing.htm"
