,skipper,boat,lastName,
166,kers claussen,one for the money,claussen,76
167,claussen,"usa  1234",claussen,76
168,claussen,usa 1234,claussen,76
169,kyle comerford,usa youth team blue  (corinthian),comerford,77
170,kyle comerford,usa youth team blue,comerford,77
171,andrew connell,mom can we keep her,connell,78
172,andrew connell,"""mom, can we keep her""",connell,78
173,sean cornell,usa youth team blue,cornell,79
174,sean cornell,usa youth team red,cornell,79
175,dan coughlin,usa 1349,coughlin,80
176,dan coughlin,resistance,coughlin,80
177,coughlin,resistance,coughlin,80
178,chuck coyer,phoenix,coyer,81
179,chuck coyer,soul ii,coyer,81
180,buddy cribb,victory,cribb,82
181,buddy cribb,victory **,cribb,82
182,buddy cribb,victory  (corinthian),cribb,82
183,"buddy  cribb",victory,cribb,82
184,jay cross,skanky gene,cross,83
185,rick crow,my wife is the best,crow,84
186,steve cucchiaro,usa 1198,cucchiaro,85
187,andrew cumming,blackadder ii,cumming,86
188,andrew cumming,blackadder ii **,cumming,86
189,andrew cumming,blackadder,cumming,86
190,cumming,vertigo,cumming,86
191,andrew cumming,vertigo,cumming,86
192,"andrew  cumming",macduff,cumming,87
193,andrew cumming,macduff,cumming,87
194,jim cunningham,lifted,cunningham,88
195,jim cunningham,sfyc,cunningham,88
196,jim cunningham,usa 1408,cunningham,88
197,jim cunningham,usa 1402,cunningham,88
198,jim cunningham,usa 1404,cunningham,88
199,dave cunningham,usa 1280,cunningham,89
200,dave curtis,hot chocolate,curtis,90
201,henrik dannesboe,something good,dannesboe,91
202,"bill  davis",alliance,davis,92
203,bill davis,alliance,davis,92
204,tom dawson,noname,dawson,93
205,henry demone,bella rena,demone,94
206,sebastian desantis,bubba,desantis,95
207,ward detweiler,usa 1225,detweiler,96
208,ward & fred detwiler,trader,detwiler,96
209,jeff dever,leading edge,dever,97
210,jeff dever,leading edge **,dever,97
211,jeff dever,leading edge  (corinthian),dever,97
212,"jeff  dever","leading  edge",dever,97
213,jeff devers,leading edge,devers,97
214,victor diaz,terrapin,diaz,98
215,dieball,usa 1372,dieball,99
216,skip dieball,usa 1372,dieball,99
217,shillingburg don,NA,don,327
218,john donnelly,athena,donnelly,101
219,john donnelly,athena **,donnelly,101
220,john donnelly,scylla,donnelly,101
221,luis doreste,tquila,doreste,102
222,william douglass,goombay smash,douglass,103
223,ethan doyle,cougar,doyle,104
224,robbie doyle,no time iv,doyle,105
225,"robbie  doyle","as  easy as Ì¦",doyle,105
226,robbie doyle,as easy as ‰Û_,doyle,105
227,drake,desparate,drake,106
228,drake,desperate,drake,106
229,drake,royal ocean racing club,drake,106
230,noel drennan,fresh guidance,drennan,107
231,noel drennan,usa 1265,drennan,107
232,dressell,usa 1300,dressell,108
233,mike dressell,usa 1300,dressell,108
234,m dressell,usa 1300,dressell,108
235,peter duncan,oatmeal,duncan,109
236,peter duncan,raging rooster,duncan,109
237,peter duncan,raging rooster **,duncan,109
238,peter duncan,mr. snatch,duncan,109
239,peter duncan,usa 1266,duncan,109
240,peter duncan,spot,duncan,109
241,wade edwards,riva,edwards,110
242,edwards,riva,edwards,110
243,bryon ehrhart,lucky,ehrhart,111
244,byron ehrhart,lucky,ehrhart,111
245,ehrhart,lucky,ehrhart,111
246,geoff eisele,usa 1259,eisele,112
247,geoff eisele,bling bling,eisele,112
248,geoff eisele,minerva,eisele,112
249,robert elliott,strait dealer,elliott,113
250,robert elliott,gbr 1379,elliott,113
251,robert elliott,bedrock,elliott,113
252,robert elliott,betrock,elliott,113
253,robert elliott,esprit,elliott,113
254,elliott,esprit,elliott,113
255,cordelia ellis,gbr 1075,ellis,114
256,ian evans,usa 1322,evans,115
257,ian evans,"""slacker, inc.""",evans,115
258,ian evans,hogzilla,evans,115
259,evans,hogzilla,evans,115
260,ian evans,trojan horse,evans,115
261,"ganson  evans","can  tab lounge",evans,116
262,ganson evans,can tab lounge,evans,116
263,jeff ever,usa 1090,ever,117
264,geoff ewenson,caramba,ewenson,118
265,michael farker,980,farker,119
266,bill fastiggi,usa 1309,fastiggi,120
267,william fink,whirlwind,fink,121
268,mark fleckenstein,zehn,fleckenstein,122
269,mark fleckenstein,zhen,fleckenstein,122
270,mark fleckenstein,apple knockers,fleckenstein,122
271,mark flekenstein,big apple knockers,flekenstein,122
272,mark flekenstein,apple knockers,flekenstein,122
273,hans fogh,landed emmigrant,fogh,123
274,hans fogh,landed immigrant,fogh,123
275,"sam  fortenbaugh",dominatrix,fortenbaugh,124
276,bill fortenberry,ten zero one,fortenberry,125
277,fox,usa 1220,fox,126
278,george francisco,american baby,francisco,127
279,george francisco,american baby  (corinthian),francisco,127
280,francisco,american baby,francisco,127
281,francisco,usa 1264,francisco,127
282,george francisco,usa 1264,francisco,127
283,g francisco,usa 1264,francisco,127
284,david franks,strait dealer usa,franks,128
285,david franks,strait dealer,franks,128
286,david franks,strait dealer 1431,franks,128
287,david franks,usa 1266,franks,128
288,david franks,hancock,franks,128
289,david franks,gbr 1409,franks,128
290,henry frazer,usa 102,frazer,129
291,michael frerker,brass monkey,frerker,130
292,michael frerker,chinese democracy,frerker,130
293,shaun frohlich,exabyte 7,frohlich,131
294,shawn frohlich,highlife,frohlich,131
295,shaun frohlich,bedrock,frohlich,131
296,shaun frohlich,hancock,frohlich,131
297,shaun frohlich,gelert,frohlich,131
298,jose fuentes,caramba,fuentes,200
299,jerry fulp,usa 1299,fulp,133
300,fulp,usa 1299,fulp,133
301,jerry fulp,usa-1299,fulp,133
302,jerry fulp,usa,fulp,133
303,phil garland,mahi mahi,garland,134
304,phil garland,dorado,garland,134
305,gilbert gary,NA,gary,135
306,michael gavin,clean execution,gavin,136
307,michael gavin,clear execation,gavin,136
308,michael gavin,usa 1305,gavin,136
309,michael gavin,usa 1167,gavin,136
310,chris gerards,ellipsis,gerards,137
311,andy giglia,double bag,giglia,138
312,gary gilbert,annie,gilbert,135
313,gary gilbert,annie  (corinthian),gilbert,135
314,gary gilbert,annnie,gilbert,135
315,gilbert,annie,gilbert,135
316,steve girling,lion heart,girling,140
317,girling,leading edge,girling,140
318,steve girling,carina,girling,140
319,steve girling,lionheart,girling,140
320,rob goddard,china wight  (corinthian),goddard,141
321,rob goddard,china wight,goddard,141
322,rob goddard,strait dealer,goddard,141
323,rob goddard,usa 1266,goddard,141
324,rob goddard,rodeo,goddard,141
325,michael goldfarb,warcanoe,goldfarb,142
326,michael goldfarb,war canoe,goldfarb,142
327,michael goldfarb,war canoe **,goldfarb,142
328,michael goldfarb,viento,goldfarb,142
329,michael goldfarb,usa 1363,goldfarb,142
330,michael goldfarb,1363,goldfarb,142
331,mike goldfarb,usa 1169,goldfarb,142
332,mike goldfarb,usa 1008,goldfarb,142
333,mike goldfarb,usa1008,goldfarb,142
334,bruce golison,midlife crisis,golison,143
335,golison,midlife crisis,golison,143
336,bruce golison,one and in,golison,143
337,bruce gollison,one and in,gollison,143
338,bischoff gordon,kgb,gordon,
339,colin gordon,kgb,gordon,145
340,gordon,kgb,gordon,
341,adam gosling,swedish blue,gosling,146
342,kevin grainger,gumption3,grainger,147
343,kevin grainger,gumption•À_,grainger,147
344,kevin grainger,gumption 3,grainger,147
345,kevin grainger,gumption,grainger,147
346,kevin grainger,gumptionå_,grainger,147
347,john greevean,contessa,greevean,148
348,john greeven,contessa,greeven,148
349,"john  greeven",contessa,greeven,148
350,hugh greville,hera,greville,149
351,hugh greville,hera  (corinthian),greville,149
352,richard grunsten,voodoo,grunsten,150
353,richard grunsten,cruel jane,grunsten,150
354,bora gulari,firing line,gulari,151
355,vasiyl gureyer,arctur,gureyer,152
356,vasyl gureyev,ukr 1297  (corinthian),gureyev,152
357,vasyl gureyev,ukr 1297,gureyev,152
358,vasyl gureyev,1297  (corinthian),gureyev,152
359,vasyl gureyev,1297,gureyev,152
360,vasyl gureyev,arctur,gureyev,152
361,peter hall,something good,hall,153
362,peter hall,something good  (corinthian),hall,153
363,jay hansen,cnq,hansen,154
364,ted hardenbergh,natasha,hardenbergh,155
365,ted hardenbergh,natasha  (corinthian),hardenbergh,155
366,bill hardesty,linehonors.com,hardesty,156
367,bill hardesty,lickety split,hardesty,156
368,bill hardesty,pegasus,hardesty,156
369,ray harrington,usa 1076,harrington,157
370,ray harrington,usa1076,harrington,157
371,lamont harris,squall,harris,158
372,roland van hazel,press gang,hazel,159
373,roland van hazel,press gang  (corinthian),hazel,159
374,stuart hebb,thin ice,hebb,160
375,"stuart  hebb","thin  ice",hebb,160
376,john heineman,usa 700,heineman,161
377,jeff heineman,usa 700,heineman,161
378,john hele,poona racing,hele,162
