,skipper,boat,lastName,
696,"ante  razmilovic","swedish  blue",razmilovic,306
697,nils razmilovic,mtu moja na umbwa yake,razmilovic,306
698,ante razmilovich,swedish blue,razmilovich,306
699,ken read,usa 1262,read,307
700,andre reese,proudest monkey,reese,308
701,tony rey,efyra iii,rey,309
702,tony rey,efyra 3,rey,309
703,kirk reynolds,usa 1076,reynolds,310
704,ricketson,usa 1248å_,ricketson,311
705,ricketson,usa 1248,ricketson,311
706,wray robert,NA,robert,312
707,bob robinson,serendipity,robinson,313
708,peter rodgers,usa 1266,rodgers,314
709,peter rogers,highlife,rogers,314
710,peter rogers,usa 1266,rogers,314
711,peter rogers,rodeo,rogers,314
712,yandell rogers,baby doll,rogers,314
713,thompson ron,gbr 1302,ron,317
714,gary ross,lone star,ross,316
715,ron ross,resolute,ross,317
716,stefano sabbadini,swedish blue,sabbadini,318
717,robert schaefer,vessal,schaefer,319
718,robert schleshinger,stern to,schleshinger,320
719,doug schneibner,trixie blue,schneibner,321
720,schneibner,trixie blue,schneibner,322
721,peter schumaker,usa 1225,schumaker,323
722,piper scott,NA,scott,293
723,john shanahan,usa 1087,shanahan,325
724,john shanahan,usa 1087  (corinthian),shanahan,325
725,john shannahan,shoutaway,shannahan,325
726,john shannahan,usa 1087,shannahan,325
727,bourke sharon,john deere,sharon,36
728,shillingburg,usa 1096,shillingburg,327
729,don shillingburg,moment,shillingburg,327
730,shumaker,mary ann,shumaker,328
731,peter shumaker,mary ann,shumaker,328
732,peter shumaker,usa 1225,shumaker,328
733,skip shumway,usa 1326,shumway,329
734,richard sidell,hokule'a,sidell,330
735,jeffrey siegal,usa 1296,siegal,331
736,jeffrey m. siegal,usa 1296,siegal,331
737,jeffrey siegal,usa1296,siegal,331
738,russ silvester,leverage,silvester,332
739,russ silvestre,ec 1279,silvestre,332
740,russ silvestri,leverage,silvestri,332
741,russ silvestrie,ec 1279,silvestrie,332
742,sistronk,"double  trouble",sistronk,333
743,paul sistronk,double trouble,sistronk,333
744,frank slootman,invisible hand,slootman,334
745,dave smalley,tithonus,smalley,335
746,smalley,"usa  1209",smalley,335
747,dave smalley,usa 1209,smalley,335
748,lawrie smith,ellamber,smith,336
749,lawrie smith,alfie,smith,336
750,smith,aging rockstar,smith,
751,jud smith,whirlwind,smith,337
752,smith,cruel jane,smith,
753,smith,can 1381,smith,
754,jud smith,cindarlinsa story,smith,337
755,jordan smith,thunderbolt,smith,338
756,jud smith,usa 1061,smith,337
757,judd smith,usa 1061,smith,337
758,jud smith,sail #63,smith,337
759,jud smith,usa 63,smith,337
760,jud smith,usa 62,smith,337
761,jud smith,twelve twenty -one,smith,337
762,smith,"twelve  twenty -one",smith,
763,john sommi,1208,sommi,338
764,henry spingler,usa 1094,spingler,339
765,henry spingler,john deere,spingler,339
766,patricia stadel,crapshoot  (corinthian),stadel,288
767,patricia stadel,crapshoot,stadel,288
768,pat stadel,crapshoot,stadel,288
769,stadel,crapshoot,stadel,288
770,patricia stadel,triskaidekaphobia,stadel,288
771,patricia stadel,b/witchcraft,stadel,288
772,patricia stadel,witchcraft,stadel,288
773,"patricia  stadel","usa  1061",stadel,288
774,patricia stadel,usa 1061,stadel,288
775,nicholas stagg,china wight,stagg,341
776,nick stagg,china wight,stagg,341
777,dick steffen,uhu,steffen,342
778,russel steiner,third rock,steiner,343
779,mark steinmetz,woody,steinmetz,344
780,mark steinmetz,usa 186,steinmetz,344
781,horowitz steve,NA,steve,177
782,robert stevens,can 63,stevens,345
783,r stevens,"""can """"63""""""",stevens,345
784,stevens,"""can """"63""""""",stevens,345
785,j.d. stone,cool bean,stone,346
786,oscar strugstad,dawn raid,strugstad,347
787,peter sulick,lakota,sulick,348
788,sulick,warhorse,sulick,348
789,peter sulick,warhorse,sulick,348
790,peter sulick,irrational exuberance,sulick,348
791,paul sustronk,3 blind mice,sustronk,349
792,paul sustronk,3 blind mice  (corinthian),sustronk,349
793,paul sustronk,double trouble,sustronk,349
794,paul sustrunk,tiburon,sustrunk,349
795,russ sylvestri,usa 1225,sylvestri,350
796,mark teborek,resolute,teborek,351
797,allan terhune,usa 1153,terhune,352
798,allan terhune,junkyard dog,terhune,352
799,jerry thomason,usa 1229,thomason,353
800,ron thompson,blue duck,thompson,315
801,ron thompson,gbr 1302,thompson,315
802,ron thompson,swedish blue,thompson,315
803,ron thompson,gbr 1014,thompson,315
804,thompson,usa 1229,thompson,353
805,jeremy thorp,phan,thorp,355
806,michael till,festina,till,356
807,edward tillinghast,dark n'stormy,tillinghast,357
808,edward tillinghast,dark n'stormy  (corinthian),tillinghast,357
809,jervis tilly,bushfire,tilly,358
810,todd,indefinitely,todd,217
811,lalumiere todd,black boat,todd,217
812,dawson tom,life is good,tom,93
813,mike toppa,buzzard,toppa,359
814,mark toso,crapshoot,toso,360
815,toso,hat trick,toso,360
816,mark toso,hat trick,toso,360
817,m toso,hat trick,toso,360
818,mark toso,usa 1328,toso,360
819,john ulbrich,champagne iii,ulbrich,361
820,john ulbrich,champagne ii,ulbrich,361
821,john ulbrich,champagne lin,ulbrich,361
822,"john  ulbrich","champagne  ii",ulbrich,361
823,maurcio verdier,morena linda,verdier,362
824,mauricio verdier,morena linda,verdier,362
825,mauricio verdier,can 1284,verdier,362
826,peter vessella,mahalaga,vessella,363
827,peter vessella,mahalaga   (corinthian),vessella,363
828,peter vessella,mahalaja,vessella,363
829,mark watson,tiburon,watson,364
830,watson,tiburon,watson,364
831,m watson,cruel jane,watson,364
832,phil weherheim,usa 12,weherheim,365
833,flip wehrheim,usa 12,wehrheim,365
834,phil wehrheim,usa 12,wehrheim,365
835,s weil,ice-nine,weil,366
836,jerry wendt,southern etchells,wendt,367
837,jerry wendt,southern etchells   (corinthian),wendt,367
838,jerry wendt,jrw one design,wendt,367
839,jerry wendt,can 993,wendt,367
840,jerry wendt,jrwonedesign,wendt,367
841,jerry wendt,can 968,wendt,367
842,phil wherheim,usa 12,wherheim,368
843,white,usa 1299,white,369
844,randy white,usa 1299,white,369
845,randy white,shrink wrapped,white,369
846,keith whittemore,blonde antelope,whittemore,369
847,roger wickens,wicked one,wickens,370
848,roger wickens,moonlight,wickens,370
849,ben wilkinson,usa youth team red  (corinthian),wilkinson,371
850,ben wilkinson,usa youth team red,wilkinson,371
851,simon williams,fresh guidance ii,williams,372
852,simon williams,fresh guidance iii,williams,372
853,simon williams,usa 1198,williams,372
854,simon williams,fresh guidance,williams,372
855,kurt winkelmann,usa 1224,winkelmann,373
856,ken womack,usa 1371,womack,374
857,ken womack,flying colors,womack,374
858,robert wray,sting wray,wray,375
859,robert wray,stingwray,wray,375
860,erik yeo,1264,yeo,376
861,erik yeo,can 1264,yeo,376
862,scott young,american baby,young,377
863,tony young,sagara,young,378
864,donald young,perezoso,young,379
865,rusty bodden & tim yourieff,dirty laundry,yourieff,380
866,michael zankel,powwow,zankel,381
867,NA,morena linda,NA,
868,NA,gumption3,NA,
869,NA,raging rooster,NA,
870,NA,alfie,NA,
871,NA,la tormenta,NA,
872,NA,swedish blue  (corinthian),NA,
873,NA,skanky gene,NA,
874,NA,1363,NA,
875,NA,strait dealer,NA,
876,NA,blackadder,NA,
877,NA,press gang,NA,
878,NA,clean execution,NA,
879,NA,gbr 1424,NA,
880,NA,tiburon,NA,
881,NA,usa 1371,NA,
882,NA,freedom,NA,
883,NA,wizard,NA,
884,NA,highlife,NA,
885,NA,southern etchells,NA,
886,NA,nemesis  (corinthian),NA,
887,NA,jeremiah  (corinthian),NA,
888,NA,china wight,NA,
889,NA,crapshoot  (corinthian),NA,
890,NA,swedish blue,NA,
891,NA,nemesis,NA,
892,NA,jeremiah,NA,
893,NA,crapshoot,NA,
894,NA,viva,NA,
895,NA,usa 1375,NA,
896,NA,usa1300,NA,
897,NA,usa 1310,NA,
898,NA,rain,NA,
899,NA,usa 1264,NA,
