"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"754","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Brian Robertson / Lincoln White",50,36,44,44,NA,NA,NA,NA,174,"USA 1087","USA 1087",NA,NA,NA,"John Shanahan  / Brian Robertson"
"755","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Gabriel Armstrong / Bob Hurst / David Bannister",49,47,39,41,NA,NA,NA,NA,176,"Jeremiah","USA 1202",NA,NA,NA,"Jonah Pruitt  / Gabriel Armstrong / Bob Hurst"
"756","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Nick Morrell / Bill Johns",58,58,16,50,NA,NA,NA,NA,182,"Something Good","USA 928",NA,NA,NA,"Bill Mauk  / Nick Morrell"
"757","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Ben Wilkinson / Kin Yellott",16,53,55,58,NA,NA,NA,NA,182,"Blue Skies","USA 1233",NA,NA,NA,"Martin Kiely  / Ben Wilkinson"
"758","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Ttm Keyworth / Kevin Gillman / Ciara Rodriguez",36,42,50,58,NA,NA,NA,NA,186,"USA 1185","USA 1185",NA,NA,NA,"Robert Allardice  / Ttm Keyworth / Kevin Gillman"
"759","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Peter Norman / Nick Lounsbury",47,29,58,58,NA,NA,NA,NA,192,"Press Gang","CAN 1072",NA,NA,NA,"Roland van Hazel  / Peter Norman"
"760","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Isabel Galvan / Zach Segal / Monica Verdier / Fritz Meuller",52,44,51,48,NA,NA,NA,NA,195,"Morena Linda","BRA 1284",NA,NA,NA,"Maurcio Verdier  / Isabel Galvan / Zach Segal / Monica Verdier"
"761","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445","Sid Doren Memorial","Glenn Burton / Jon Easley",58,58,58,58,NA,NA,NA,NA,232,"Firing Line","USA 1398",NA,NA,NA,"Bruce J. Burton  / Glenn Burton"
"762","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Michael Menninger/ George Peet / Ian Liberty",5,3,1,1,1,NA,NA,NA,6,"SCIMITAR","USA 1228",NA,NA,NA,"Steve Benjamin  / Michael Menninger/ George Peet"
"763","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Jud Smith / Tom Blackwell",3,6,9,6,7,NA,NA,NA,22,"Raging Rooster","USA 1397",NA,NA,NA,"Peter Duncan  / Jud Smith"
"764","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Barry Allardice / Tomas Hornos / Chiara Bruzzi",15,7,6,2,9,NA,NA,NA,24,"USA 1185","USA 1185",NA,NA,NA,"Luke Lawrence  / Barry Allardice / Tomas Hornos"
"765","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Mark Fuey / Bryin Bachman / Jeff Madrigali",19,13,3,5,4,NA,NA,NA,25,"Lifted","USA 1408",NA,NA,NA,"Jim Cunningham  / Mark Fuey / Bryin Bachman"
"766","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,13,5,4,3,60,NA,NA,NA,25,"Viva","USA 1429",NA,NA,NA,NA
"767","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Finn Hill / Simon Fry",18,1,10,13,2,NA,NA,NA,26,"Tquila","SUI 1425",NA,NA,NA,"Andy Beadsworth  / Finn Hill"
"768","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Senet Bischoff  / Clay Bischoff",9,42,2,12,6,NA,NA,NA,29,"KGB","USA 1308",NA,NA,NA,"Ben Kinney / Senet Bischoff "
"769","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Brad Boston / Mark Andrews",7,4,26,7,12,NA,NA,NA,30,"La Tormenta","USA 1415",NA,NA,NA,"Shannon Bush  / Brad Boston"
"770","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,53,14,5,11,8,NA,NA,NA,38,"USA 1375","USA 1375",NA,NA,NA,NA
"771","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Bill Abbott / Guy Rittger",28,2,13,21,11,NA,NA,NA,47,"Clean Execution","USA 1305",NA,NA,NA,"Michael Gavin  / Bill Abbott"
"772","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Tony Rey",27,46,16,4,3,NA,NA,NA,50,"EFYRA III","GRE 1368",NA,NA,NA,"George Andreadis "
"773","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Austen Anderson / Jesse Kirkland / Victor Diaz",8,15,30,8,19,NA,NA,NA,50,"America Jane II","USA 1198",NA,NA,NA,"Scott Kaufman  / Austen Anderson / Jesse Kirkland"
"774","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,16,20,27,15,5,NA,NA,NA,56,"USA1300","USA 1300",NA,NA,NA,NA
"775","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Yandell Rogers / Mike McCann",23,8,11,16,60,NA,NA,NA,58,"GBR 1424","GBR 1424",NA,NA,NA,"Barry Parkin  / Yandell Rogers"
"776","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Graham Sunderland / Amy Prime / Richard Mason",41,10,19,19,18,NA,NA,NA,66,"Strait Dealer","GBR 1418",NA,NA,NA,"David Franks  / Graham Sunderland / Amy Prime"
"777","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Taylor Canfield / Mike Buckley / Lauren Gillooly",30,30,20,9,14,NA,NA,NA,73,"Skanky Gene","USA 1414",NA,NA,NA,"Jay Cross  / Taylor Canfield / Mike Buckley"
"778","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,10,27,8,34,29,NA,NA,NA,74,"USA 1310","USA 1310",NA,NA,NA,NA
"779","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Geoff Ewanson/ Luis Juarbe",17,17,21,33,20,NA,NA,NA,75,"Caramba","USA 1405",NA,NA,NA,"Jose Fuentes "
"780","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Rodrigo Meireles / Eric Doyle",40,56,15,14,10,NA,NA,NA,79,"Arethusa","USA 1376",NA,NA,NA,"Phil Lotz  / Rodrigo Meireles"
"781","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Andreas Josenhans / Dirk Kneulman",37,12,29,17,21,NA,NA,NA,79,"Tiburon","BER 1412",NA,NA,NA,"Mark Watson  / Andreas Josenhans"
"782","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Ben Cooper / Neil Harrison",21,9,37,25,25,NA,NA,NA,80,"USA 1266","USA 1266",NA,NA,NA,"Peter Rodgers  / Ben Cooper"
"783","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Ian Walker / Danielle Septembre / Lara Dallman-Weiss",12,33,48,20,16,NA,NA,NA,81,"The Martian","USA 1232",NA,NA,NA,"Marvin Beckmann  / Ian Walker / Danielle Septembre"
"784","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Scott MacLeod / Michael Guerriero",25,30,14,31,13,NA,NA,NA,82,"American Baby","USA 1394",NA,NA,NA,"George Francisco  / Scott MacLeod"
"785","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Brian Kamilar / Alex Sachs / Martha Pitt",46,16,36,10,22,NA,NA,NA,84,"Blackadder","CAN 1327",NA,NA,NA,"Andrew Cumming  / Brian Kamilar / Alex Sachs"
"786","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Morten Henriksen / John Millen",39,24,12,35,15,NA,NA,NA,86,"Rebel Rebel","USA 1419",NA,NA,NA,"John Hele  / Morten Henriksen"
"787","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","David Vera / Louis Doreste",1,40,24,24,60,NA,NA,NA,89,"No Dramas","SUI 425",NA,NA,NA,"Seamus McHugh  / David Vera"
"788","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Chris Busch / Andrew Palfrey",2,22,28,38,60,NA,NA,NA,90,"Elizabeth","USA 1411",NA,NA,NA,"Tom Carruthers  / Chris Busch"
"789","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","David Hein / Eric Lawrence / Jack Famigletti",11,50,25,29,27,NA,NA,NA,92,"Annnie","USA 1388",NA,NA,NA,"Gary Gilbert  / David Hein / Eric Lawrence"
"790","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,32,21,17,22,60,NA,NA,NA,92,"Gumption3","USA 1208",NA,NA,NA,NA
"791","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Skip Dieball / Jeff Eiber",4,19,23,60,60,NA,NA,NA,106,"Aretas","USA 1396",NA,NA,NA,"Jon McClean  / Skip Dieball"
"792","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Pete Levesque / Micah Reyes",42,37,18,28,23,NA,NA,NA,106,"Indefinitely","USA 1103",NA,NA,NA,"Todd/Matt Lalumiere  / Pete Levesque"
"793","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Bruce Nelson / Jon Easley",20,49,7,39,60,NA,NA,NA,115,"Firing Line","USA 1398",NA,NA,NA,"Glenn Burton  / Bruce Nelson"
"794","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Eamonn deLisser / jeff Devers",6,34,40,37,60,NA,NA,NA,117,"Victory","USA 1373",NA,NA,NA,"Buddy Cribb  / Eamonn deLisser"
"795","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Andrew Macrae / Ezra Culver",55,31,33,42,17,NA,NA,NA,123,"Cruel Jane","NZL 1381",NA,NA,NA,"Lorne Leibel  / Andrew Macrae"
"796","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Tim Banks / Ariel deLisser / Simona Pasqua",47,11,35,32,60,NA,NA,NA,125,"Nemesis","USA 1307",NA,NA,NA,"Jeff Nehms  / Tim Banks / Ariel deLisser"
"797","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,50,29,47,26,24,NA,NA,NA,126,"RAIN","CAN 1247",NA,NA,NA,NA
"798","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Watt Duffy/ Dan Peckam",26,23,22,60,60,NA,NA,NA,131,"USA 1371","USA 1371",NA,NA,NA,"Ken Womack "
"799","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Mark Brink / David Brink",60,45,45,18,26,NA,NA,NA,134,"Viento","USA 1363",NA,NA,NA,"Michael Goldfarb  / Mark Brink"
"800","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Tim Healy / Jared Henderson / Sarah Morin",14,25,39,60,60,NA,NA,NA,138,"Nameless","USA 1225",NA,NA,NA,"Jamie Hilton  / Tim Healy / Jared Henderson"
"801","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Andrew Cooke/ James McKenna / Chris Brady",44,36,34,27,60,NA,NA,NA,141,"Whirlwind","USA 1238",NA,NA,NA,"William Fink  / Andrew Cooke/ James McKenna"
"802","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Tim Thurbon / Mark Lees",48,47,44,23,30,NA,NA,NA,144,"China Wight","GBR 1417",NA,NA,NA,"Nick Stagg  / Tim Thurbon"
"803","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Peter Norman / Augustin Ferrario",38,35,51,43,28,NA,NA,NA,144,"Press Gang","CAN 1072",NA,NA,NA,"Roland van Hazel  / Peter Norman"
"804","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Noel Drennan / Jed Lee",24,32,42,60,60,NA,NA,NA,158,"Lucky","USA 1355",NA,NA,NA,"Bryon Ehrhart  / Noel Drennan"
"805","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Rick Jarkow / Scott Lindars",49,39,41,36,60,NA,NA,NA,165,"Vertigo","USA 1055",NA,NA,NA,"Christopher Lanza  / Rick Jarkow"
"806","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Ben Newman / Will Pelleteri",33,26,49,60,60,NA,NA,NA,168,"Riva","USA 1221",NA,NA,NA,"Wade Edwards  / Ben Newman"
"807","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Schuyler Needham / Peter Needham",35,44,50,40,60,NA,NA,NA,169,"Bad Martha","USA 1195",NA,NA,NA,"Connor Needham  / Schuyler Needham"
"808","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","John Hartford / Nicole Popp / Chris Branning",34,43,38,60,60,NA,NA,NA,175,"USA 1280","USA 1280",NA,NA,NA,"Craig Mense  / John Hartford / Nicole Popp"
"809","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Paul Abdullah / Jim Batts",31,55,31,60,60,NA,NA,NA,177,"Athena","USA 1282",NA,NA,NA,"John Donnelly  / Paul Abdullah"
"810","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Bill Mauk / Nick Morrell",52,40,46,42,60,NA,NA,NA,180,"Something Good","USA 928",NA,NA,NA,"Peter Hall  / Bill Mauk"
"811","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Jack Sustronk / Kenny Benson",29,38,60,60,60,NA,NA,NA,187,"3 Blind Mice","CAN 1379",NA,NA,NA,"Paul Sustronk  / Jack Sustronk"
"812","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Gerri Whitley / Allyson Case / Tom Dawson",57,41,32,60,60,NA,NA,NA,190,"Ninkasi","USA 1126",NA,NA,NA,"Richard Kaiser  / Gerri Whitley / Allyson Case"
"813","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,36,52,43,60,60,NA,NA,NA,191,"USA 1264","CAN 1264",NA,NA,NA,NA
"814","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Robby Brown / Matt Shankweiler",22,53,60,60,60,NA,NA,NA,195,"Lakota","USA 1224",NA,NA,NA,"Peter Sulick  / Robby Brown"
"815","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,58,58,52,41,60,NA,NA,NA,209,"Morena Linda","BRA 1284",NA,NA,NA,NA
"816","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Mark Muller / Alan Campbell / Lincoln White",45,51,60,60,60,NA,NA,NA,216,"USA 1087","USA 1087",NA,NA,NA,"John Shanahan  / Mark Muller / Alan Campbell"
"817","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Alex Baker / Bryan Milne",43,57,60,60,60,NA,NA,NA,220,"Southern Etchells","CAN 993",NA,NA,NA,"Jerry Wendt  / Alex Baker"
"818","Etchells FL20",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship",NA,54,48,60,60,60,NA,NA,NA,222,"Jeremiah","USA 1202",NA,NA,NA,NA
"819","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Kin Yellott / Ed Holt",59,54,60,60,60,NA,NA,NA,233,"Blue Skies","USA 1233",NA,NA,NA,"Martin Kiely  / Kin Yellott"
"820","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446","Florida State Championship","Ralph Carpenter",56,59,60,60,60,NA,NA,NA,235,"Crapshoot","USA 1111",NA,NA,NA,"Patricia Stadel "
"821","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Finn Hill / Simon Fry",16,1,15,23,5,1,1,NA,39,"Tquila","SUI 1425",NA,NA,NA,"Andy Beadsworth  / Finn Hill"
"822","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Michael Menninger / George Peet / Ian Liberty",15,6,1,2,21,21,2,NA,47,"SCIMITAR","USA 1262",NA,NA,NA,"Steve Benjamin  / Michael Menninger / George Peet"
"823","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Jim Gibson / John Millen",2,4,2,21,2,34,25,NA,56,"Rebel Rebel","USA 1419",NA,NA,NA,"Morten Henriksen  / Jim Gibson"
"824","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Jud Smith / Tom Blackwell",1,13,42,15,13,9,8,NA,59,"Raging Rooster","USA 1397",NA,NA,NA,"Peter Duncan  / Jud Smith"
"825","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Brad Boston / Curt Oetking",20,41,10,5,8,12,7,NA,62,"La Tormenta","USA 1415",NA,NA,NA,"Shannon Bush  / Brad Boston"
"826","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Chris Cantrick / Phil Trinker",8,19,3,13,7,13,59,NA,63,"EFYRA III","GRE 1368",NA,NA,NA,"Tony Rey  / Chris Cantrick"
"827","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Skip DIeball / Jeff Eiber",50,3,7,1,18,33,5,NA,67,"Aretas","USA 1396",NA,NA,NA,"Jon McClean  / Skip DIeball"
"828","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Taylor Canfield / Michael Buckley / Martha Pitt",3,24,26,6,17,8,9,NA,67,"Skanky Gene","USA 1414",NA,NA,NA,"Jay Cross  / Taylor Canfield / Michael Buckley"
"829","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Fred Strammer / John Harford / Nicole Popp",9,14,43,24,11,3,13,NA,74,"USA 1280  (Corinthian)","USA 1280",NA,NA,NA,"Craig Mense  / Fred Strammer / John Harford"
"830","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Grant Simmer / Andreas Josenhans",35,12,20,3,1,5,59,NA,76,"Tiburon","BER 1412",NA,NA,NA,"Dirk Kneulman  / Grant Simmer"
"831","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Andrew Macrae / Chris Larson",10,29,13,44,20,6,3,NA,81,"Cruel Jane","NZL 1381",NA,NA,NA,"Lorne Leibel  / Andrew Macrae"
"832","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Scott Mason / Robert Kinney",12,2,47,14,19,10,27,NA,84,"Viva  (Corinthian)","USA 1429",NA,NA,NA,"Don Jesberg  / Scott Mason"
"833","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Senet Bischoff  / Clay Bischoff",6,20,12,29,9,20,19,NA,86,"KGB  (Corinthian)","USA 1349",NA,NA,NA,"Ben Kinney / Senet Bischoff "
"834","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Chris Busch / Andrew Palfrey",5,26,21,19,6,18,21,NA,90,"Elizabeth","USA 1411",NA,NA,NA,"Tom Carruthers  / Chris Busch"
"835","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Jin Barnash / Kate Sheahan / Tom Forrester Coles",28,5,14,9,16,23,37,NA,95,"1375","USA 1375",NA,NA,NA,"Argyle Campbell  / Jin Barnash / Kate Sheahan"
"836","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Josh Revkin / Robert Allardice",26,22,34,10,4,11,26,NA,99,"USA 1185","USA 1185",NA,NA,NA,"Tomas Hornos  / Josh Revkin"
"837","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Mark Mendelblatt / Brian Ledbetter",25,45,29,22,3,2,23,NA,104,"Mahalo","USA 1099",NA,NA,NA,"Charles Kenahan  / Mark Mendelblatt"
"838","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Max Skelly / Mike Wolfs",21,40,31,8,25,4,16,NA,105,"Gumption3","USA 1208",NA,NA,NA,"Kevin Grainger  / Max Skelly"
"839","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Bill Abbott / Steve Girling",19,11,27,7,22,27,20,NA,106,"Clean Execution","USA 1305",NA,NA,NA,"Michael Gavin  / Bill Abbott"
"840","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Jesse Kirkland / Austin Anderson / Victor Diaz",22,31,17,12,14,32,11,NA,107,"America Jane II","USA 1198",NA,NA,NA,"Scott Kaufman  / Jesse Kirkland / Austin Anderson"
"841","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Eric Lawrence / Dalton Tebo",42,37,16,4,15,35,12,NA,119,"Annie  (Corinthian)","USA 1388",NA,NA,NA,"Gary Gilbert  / Eric Lawrence"
"842","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Andrey Shafranyuk / Oleg Tsipko",32,16,6,46,27,15,32,NA,128,"Arctur","UKR 1297",NA,NA,NA,"Vasyl Gureyev  / Andrey Shafranyuk"
"843","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Eamonn deLisser / Jeff Deaver",43,7,36,11,24,24,29,NA,131,"Victory","USA 1373",NA,NA,NA,"Buddy Cribb  / Eamonn deLisser"
"844","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Shawn Burke / Mark Brink",13,18,9,27,51,25,39,NA,131,"Viento","USA 1363",NA,NA,NA,"Michael Goldfarb  / Shawn Burke"
"845","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Joby Breck / Steve Keen",39,28,5,20,40,22,18,NA,132,"GBR 1424","GBR 1424",NA,NA,NA,"Barry Parkin  / Joby Breck"
"846","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Brad Rodi / Jon Easley",49,27,4,16,38,45,4,NA,134,"Firing Line","USA 1398",NA,NA,NA,"Glenn Burton  / Brad Rodi"
"847","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Mark Ivey / Bryn Bachman / Jeff Madrigali",29,10,51,17,12,29,43,NA,140,"Lifted","USA 1408",NA,NA,NA,"Jim Cunningham  / Mark Ivey / Bryn Bachman"
"848","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Duncan Truswell / David Bedford",33,48,24,42,30,7,6,NA,142,"Bedrock","GBR 1347",NA,NA,NA,"Shaun Frohlich  / Duncan Truswell"
"849","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","David Vera / Louis Doreste",31,8,25,39,34,36,10,NA,144,"No Dramas","SUI 1403",NA,NA,NA,"Seamus McHugh  / David Vera"
"850","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Rodrigo Meireles / Eric Doyle",47,25,11,49,28,19,15,NA,145,"Arethusa","USA 1376",NA,NA,NA,"Phil Lotz  / Rodrigo Meireles"
"851","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Jeff Linton, Chris Morgan / Kaitlyn Liebel",7,17,28,37,44,16,44,NA,149,"USA 1300","USA 1300",NA,NA,NA,"Ernie Pomerleau  / Jeff Linton, Chris Morgan"
"852","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Brian Kamilar / Kristen Sanders / Alex Sachs",17,21,54,47,10,40,14,NA,149,"Blackadder","CAN 1327",NA,NA,NA,"Andrew Cumming  / Brian Kamilar / Kristen Sanders"
"853","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Gerri Whitley / Tom Dawson / Teresa Benjamin",4,42,37,48,23,14,38,NA,158,"Ninkasi  (Corinthian)","USA 1126",NA,NA,NA,"Richard Kaiser  / Gerri Whitley / Tom Dawson"
"854","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Dan Peckham / Watt Duffy",34,33,18,35,37,17,24,NA,161,"USA 1371","USA 1371",NA,NA,NA,"Ken Womack  / Dan Peckham"
"855","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Scott MacLeod / Michael Guerriero",46,38,8,43,36,30,22,NA,177,"American Baby  (Corinthian)","USA 1394",NA,NA,NA,"George Francisco  / Scott MacLeod"
"856","Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447","Miami Mid-Winters","Graham Sunderland / Amy Prime / Harvey Hillary",37,39,19,18,32,59,33,NA,178,"Strait Dealer","GBR 1418",NA,NA,NA,"David Franks  / Graham Sunderland / Amy Prime"
