"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"22","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Mark Tillinghast / Maru Urban / Daniel Top",8,21,36,31,18,NA,NA,NA,78,"Dark N'Stormy","USA 1262",NA,NA,NA,"Edward Tillinghast  / Mark Tillinghast / Maru Urban"
"23","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","David Bedford / Duncan Truswell",32,15,11,29,27,NA,NA,NA,82,"Exabyte 7","GBR 1437",NA,NA,NA,"Shaun Frohlich  / David Bedford"
"24","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Eric Dolye / Chuck Norris",40,23,31,17,14,NA,NA,NA,85,"Gumption3","USA 1465",NA,NA,NA,"Kevin Grainger  / Eric Dolye"
"25","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Matt Reid / Tim Thubron",21,32,21,25,23,NA,NA,NA,90,"China Wight","GBR 1417",NA,NA,NA,"Nicholas Stagg  / Matt Reid"
"26","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Dirk Kneulman / Grant Simmer",13,28,49,14,38,NA,NA,NA,93,"Tiburon","BER 1467",NA,NA,NA,"Mark Watson  / Dirk Kneulman"
"27","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Matt Lamt Lalumiere / Mike Madigan / Elizabeth Mayes",19,27,35,30,17,NA,NA,NA,93,"Marge","USA 1327",NA,NA,NA,"Todd Lalumiere  / Matt Lamt Lalumiere / Mike Madigan"
"28","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","William Abbott / Peter Coleman",26,20,24,23,44,NA,NA,NA,93,"Clean Execution","USA 1305",NA,NA,NA,"Michael Gavin  / William Abbott"
"29","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Mark Manfeild / Ben Cressford",39,37,16,9,35,NA,NA,NA,97,"Desparate","GBR 1432",NA,NA,NA,"Rob Tyrwhitt-Drake  / Mark Manfeild"
"30","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Paul Abdullah / Chris Clark",33,18,26,39,25,NA,NA,NA,102,"Athena","USA 1282",NA,NA,NA,"John Donnelly  / Paul Abdullah"
"31","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Mauk / Raefel Melendez / Cory Sertl",23,49,10,34,36,NA,NA,NA,103,"Something Good","USA 928",NA,NA,NA,"Ched Proctor  / Bill Mauk / Raefel Melendez"
"32","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Fred Strammer / Emily Dellenbaugh / John Parford",24,49,20,28,34,NA,NA,NA,106,"Freedom","USA 1456",NA,NA,NA,"Craig Mense  / Fred Strammer / Emily Dellenbaugh"
"33","Etchell",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Monica Morgan / David Van Cleef / Dan Borrer",31,34,49,26,24,NA,NA,NA,115,"USA 1300","USA 1300",NA,NA,NA,"Chris Morgan  / Monica Morgan / David Van Cleef"
"34","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Irek Zubko / Andrew Rogers",41,29,49,19,31,NA,NA,NA,120,"Southern Etchells","CAN 993",NA,NA,NA,"Jerry Wendt  / Irek Zubko"
"35","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Watt Duffy / Dan Peckham",25,33,27,35,41,NA,NA,NA,120,"USA 1371","USA 1371",NA,NA,NA,"Ken Womack  / Watt Duffy"
"36","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Gerri Whitle / Amy Baxter / Collene Duncan",29,26,28,37,39,NA,NA,NA,120,"Ninkasi","USA 1126",NA,NA,NA,"Rick Kaiser  / Gerri Whitle / Amy Baxter"
"37","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Kent Paisley / Andrew MacLone",35,30,22,38,37,NA,NA,NA,124,"Proudest Monkey","CAN 1010",NA,NA,NA,"Robert Hitchcock  / Kent Paisley"
