"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"603",603,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Richard Hinde-Smith / Ollie Spencer-Corefield",44,47,26,47,40,34,45,41,277,"china wight","GBR 1417",NA,NA,NA,"nicholas stagg","Nicholas Stagg  / Richard Hinde-Smith","stagg",341
"604",604,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Bob Hurst / Cam Carlin",37,43,34,37,48,45,41,42,279,"jeremiah  (corinthian)","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / Bob Hurst","pruitt",300
"605",605,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Ralph Carpenter / Jeremy Davidson",40,40,21,43,43,46,48,48,281,"crapshoot  (corinthian)","USA 1111",NA,NA,NA,"patricia stadel","Patricia Stadel  / Ralph Carpenter","stadel",288
"606",606,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Steph Bailey / Simon Sanders",35,41,48,46,46,47,32,38,285,"lucky  (corinthian)","USA 1355",NA,NA,NA,"aaron housten","Aaron Housten  / Steph Bailey","housten",179
"607",607,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Andrew Mills / Brian Hammersley",24,24,19,9,26,19,8,7,110,"swedish blue","GBR 1438",NA,NA,NA,"ante razmilovic","Ante Razmilovic  / Andrew Mills","razmilovic",306
"608",608,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Oleg Tsypko / Andriy Shafranyuk",48,26,7,39,34,16,15,33,170,"ukr 1297","UKR 1297",NA,NA,NA,"vasyl gureyev","Vasyl Gureyev  / Oleg Tsypko","gureyev",152
"609",609,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Ken Fells / Rick Stevens",15,32,48,42,16,14,27,24,170,"landed gentry","USA 1309",NA,NA,NA,"don brush","Don Brush  / Ken Fells","brush",45
"610",610,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Bill Johns / Nick Morrell",42,19,28,31,39,15,34,31,197,"somethind good","USA 928",NA,NA,NA,"bill mauk","Bill Mauk  / Bill Johns","mauk",242
"611",611,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Tim Banks / Sam Baker / Olivia de Olasara",41,42,23,29,7,40,30,32,202,"nemesis","USA 1307",NA,NA,NA,"jeff nehms","Jeff Nehms  / Tim Banks / Sam Baker","nehms",276
"612",612,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Schuyler Needham / Peter Needham",30,45,48,34,22,33,35,30,229,"bad martha","USA 1195",NA,NA,NA,"connor needham","Connor Needham  / Schuyler Needham","needham",274
"613",613,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Tom Dawson / Mary Bruecker / Geri Whitley",46,34,31,19,37,44,42,34,241,"ninkasi","USA 1126",NA,NA,NA,"rick kaiser","Rick Kaiser  / Tom Dawson / Mary Bruecker","kaiser",203
"614",614,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Bob Hurst / Cam Carlin",37,43,34,37,48,45,41,42,279,"jeremiah","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / Bob Hurst","pruitt",300
"615",615,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Ralph Carpenter / Jeremy Davidson",40,40,21,43,43,46,48,48,281,"crapshoot","USA 1111",NA,NA,NA,"patricia stadel","Patricia Stadel  / Ralph Carpenter","stadel",288
"616",616,"Etchells",2017,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874","Miami Mid-Winters","Steph Bailey / Simon Sanders",35,41,48,46,46,47,32,38,285,"lucky","USA 1355",NA,NA,NA,"aaron housten","Aaron Housten  / Steph Bailey","housten",179
"617",617,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,2,9,1,3,9,2,3,9,29,"alfie","GBR 1434",NA,NA,NA,NA,NA,NA,NA
"618",618,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Dave Hughes / Ian Liberty / Stuart McNay",1,7,3,10,8,3,1,12,33,"terrapin","USA 1228",NA,NA,NA,"steve benjamin","Steve Benjamin  / Dave Hughes / Ian Liberty","benjamin",29
"619",619,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,10,2,14,4,20,5,8,10,53,"la tormenta","USA 1415",NA,NA,NA,NA,NA,NA,NA
"620",620,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,8,1,25,13,10,15,2,6,55,"swedish blue  (corinthian)","GBR 1438",NA,NA,NA,NA,NA,NA,NA
"621",621,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,4,18,2,23,15,6,7,8,60,"skanky gene","USA 1414",NA,NA,NA,NA,NA,NA,NA
"622",622,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,6,5,15,7,24,10,13,15,71,"1363","USA 1363",NA,NA,NA,NA,NA,NA,NA
"623",623,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,17,30,22,14,2,11,4,5,75,"strait dealer","GBR 1418",NA,NA,NA,NA,NA,NA,NA
"624",624,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Andriy Shafranyuk / Oleg Tsypko",26,24,4,19,5,4,17,3,76,"1297  (corinthian)","UKR 1297",NA,NA,NA,"vasyl gureyev","Vasyl Gureyev  / Andriy Shafranyuk","gureyev",152
"625",625,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Lucas Calabrese / Brian Kamilar / Evan Aras",21,12,13,18,1,1,11,25,77,"america jane ii","USA 1198",NA,NA,NA,"scott kaufman","Scott Kaufman  / Lucas Calabrese / Brian Kamilar","kaufman",206
"626",626,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","TOMAS HORNOS / ROBERT ALLARDICE / JOSH REVKIN",25,14,19,6,7,21,10,2,79,"usa 1185","USA 1185",NA,NA,NA,"robert allardice","Robert Allardice  / TOMAS HORNOS / ROBERT ALLARDICE","allardice",5
"627",627,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,13,16,10,12,6,33,9,13,79,"blackadder","CAN 1327",NA,NA,NA,NA,NA,NA,NA
"628",628,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,7,4,18,5,12,22,18,17,81,"press gang","CAN 1426",NA,NA,NA,NA,NA,NA,NA
"629",629,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,14,13,16,28,4,19,15,1,82,"clean execution","USA 1305",NA,NA,NA,NA,NA,NA,NA
"630",630,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Tracy Usher / Ben Newman",9,10,7,15,11,12,23,21,85,"mahalaga   (corinthian)","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Tracy Usher","vessella",363
"631",631,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,18,22,11,9,21,7,5,20,91,"gbr 1424","USA 1424",NA,NA,NA,NA,NA,NA,NA
"632",632,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,15,26,5,2,3,20,27,23,94,"tiburon","BER 1412",NA,NA,NA,NA,NA,NA,NA
"633",633,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,33,3,26,20,25,9,6,11,100,"usa 1371","USA 1371",NA,NA,NA,NA,NA,NA,NA
"634",634,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,16,28,20,8,17,24,12,4,101,"freedom","USA 1280",NA,NA,NA,NA,NA,NA,NA
"635",635,"Etchell",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Gerri Whitley / Phil Toth",19,20,8,1,27,14,21,33,110,"ninkasi","Usa 1126",NA,NA,NA,"rick kaiser","Rick Kaiser  / Gerri Whitley","kaiser",203
"636",636,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Ezra Culver / Stu deLisser",12,8,17,22,19,25,25,7,110,"athena","USA 1282",NA,NA,NA,"john donnelly","John Donnelly  / Ezra Culver","donnelly",101
"637",637,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,22,11,28,11,16,15,19,16,110,"gumption3","USA 1208",NA,NA,NA,NA,NA,NA,NA
"638",638,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,23,15,6,24,14,17,22,14,111,"wizard","USA 1303",NA,NA,NA,NA,NA,NA,NA
"639",639,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,3,17,21,29,13,13,16,29,112,"highlife","GBR 1441",NA,NA,NA,NA,NA,NA,NA
"640",640,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Henry Chau / Chris Lanza",11,6,12,17,30,27,20,28,121,"victory  (corinthian)","USA 1373",NA,NA,NA,"buddy cribb","Buddy Cribb  / Henry Chau","cribb",82
"641",641,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Tom Abrey / Matt Reid / Bruno Van Dyke",5,29,29,26,18,16,28,19,141,"tbc","USA 1225",NA,NA,NA,"tom abrey","Tom Abrey  / Tom Abrey / Matt Reid","abrey",3
"642",642,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Steve Girling / Rick Jarchow",24,21,27,25,22,23,29,18,160,"leading edge  (corinthian)","USA 1239",NA,NA,NA,"jeff dever","Jeff Dever  / Steve Girling","dever",97
"643",643,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,20,25,23,27,26,18,24,26,162,"southern etchells","CAN 993",NA,NA,NA,NA,NA,NA,NA
"644",644,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,28,31,9,16,29,29,26,27,164,"nemesis  (corinthian)","USA 1307",NA,NA,NA,NA,NA,NA,NA
"645",645,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,27,19,24,21,31,30,31,22,174,"jeremiah  (corinthian)","USA 1202",NA,NA,NA,NA,NA,NA,NA
"646",646,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,30,23,30,31,28,31,14,30,186,"china wight","GBR 1417",NA,NA,NA,NA,NA,NA,NA
"647",647,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,29,27,31,30,23,28,30,33,198,"crapshoot  (corinthian)","USA 1111",NA,NA,NA,NA,NA,NA,NA
"648",648,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Lee Carlson / Abigail Webb",33,33,33,32,32,26,32,24,212,"john deere  (corinthian)","CAN 1094",NA,NA,NA,"sharon bourke","Sharon Bourke  / Lee Carlson","bourke",36
"649",649,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,8,1,25,13,10,15,2,6,55,"swedish blue","GBR 1438",NA,NA,NA,NA,NA,NA,NA
"650",650,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Andriy Shafranyuk / Oleg Tsypko",26,24,4,19,5,4,17,3,76,"1297","UKR 1297",NA,NA,NA,"vasyl gureyev","Vasyl Gureyev  / Andriy Shafranyuk","gureyev",152
"651",651,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Tracy Usher / Ben Newman",9,10,7,15,11,12,23,21,85,"mahalaga","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Tracy Usher","vessella",363
"652",652,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Henry Chau / Chris Lanza",11,6,12,17,30,27,20,28,121,"victory","USA 1373",NA,NA,NA,"buddy cribb","Buddy Cribb  / Henry Chau","cribb",82
"653",653,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Steve Girling / Rick Jarchow",24,21,27,25,22,23,29,18,160,"leading edge","USA 1239",NA,NA,NA,"jeff dever","Jeff Dever  / Steve Girling","dever",97
"654",654,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,28,31,9,16,29,29,26,27,164,"nemesis","USA 1307",NA,NA,NA,NA,NA,NA,NA
"655",655,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,27,19,24,21,31,30,31,22,174,"jeremiah","USA 1202",NA,NA,NA,NA,NA,NA,NA
"656",656,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup",NA,29,27,31,30,23,28,30,33,198,"crapshoot","USA 1111",NA,NA,NA,NA,NA,NA,NA
"657",657,"Etchells",2017,"https://yachtscoring.com/event_results_cumulative.cfm?eID=4102","Coral Reef Cup","Lee Carlson / Abigail Webb",33,33,33,32,32,26,32,24,212,"john deere","CAN 1094",NA,NA,NA,"sharon bourke","Sharon Bourke  / Lee Carlson","bourke",36
"658",658,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Michael Menninger / George Peet / Norman Berge",2,1,6,2,10,NA,NA,NA,11,"scimitar","USA 1228",NA,NA,NA,"steve benjamin","Steve Benjamin  / Michael Menninger / George Peet","benjamin",29
"659",659,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Andy Beadsworth / Simon Fry",27,6,3,3,1,NA,NA,NA,13,"tquila","SUI 1403",NA,NA,NA,"seamus mchugh","Seamus McHugh  / Andy Beadsworth","mchugh",247
"660",660,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Skip Dieball / Jeff Eiber",21,11,1,1,11,NA,NA,NA,24,"aretas","USA 1396",NA,NA,NA,"jon mcclean","Jon McClean  / Skip Dieball","mcclean",246
"661",661,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Rodrigo Meireles / Eric Doyle",11,3,5,8,9,NA,NA,NA,25,"arethusa","USA 1376",NA,NA,NA,"phil lotz","Phil Lotz  / Rodrigo Meireles","lotz",233
"662",662,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","lucas Calabrase / Austin Anderson",12,4,9,5,18,NA,NA,NA,30,"america jane 11","USA 1198",NA,NA,NA,"scott kaufman","Scott Kaufman  / lucas Calabrase","kaufman",206
"663",663,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Brad Boston / Curt Oetking",1,12,36,6,12,NA,NA,NA,31,"la tormenta","USA 1415",NA,NA,NA,"shannon bush","Shannon Bush  / Brad Boston","bush",53
"664",664,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Morten Henriksen / Jim Gibson",17,29,4,10,3,NA,NA,NA,34,"rebel rebel","USA 1419",NA,NA,NA,"john hele","John Hele  / Morten Henriksen","hele",162
"665",665,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Jud Smith / Tom Blackwell",4,10,12,50,8,NA,NA,NA,34,"raging rooster","USA 1397",NA,NA,NA,"peter duncan","Peter Duncan  / Jud Smith","duncan",109
"666",666,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Mark Ivey / Marcus Eagan / Bryn Bachman",14,8,17,15,2,NA,NA,NA,39,"lifted","USA 1408",NA,NA,NA,"jim cunningham","Jim Cunningham  / Mark Ivey / Marcus Eagan","cunningham",88
"667",667,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Clay Bischoff / John Edenbach",13,9,16,11,6,NA,NA,NA,39,"kgb","USA 1308",NA,NA,NA,"senet bischoff","Senet Bischoff  / Clay Bischoff","bischoff",33
"668",668,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Ched Proctor / Scott Kulp",19,5,7,17,30,NA,NA,NA,48,"usa 1310","USA 1310",NA,NA,NA,"john podmajersky","John Podmajersky  / Ched Proctor","podmajersky",296
"669",669,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","danielle Septembre / Tim Siemens / Lara Dallman-Weiss",3,22,50,19,16,NA,NA,NA,60,"the martian","USA 1232",NA,NA,NA,"marvin beckmann","Marvin Beckmann  / danielle Septembre / Tim Siemens","beckmann",237
"670",670,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Glenn Burton / Jon Easley",9,2,24,32,26,NA,NA,NA,61,"firing line","USA 1398",NA,NA,NA,"burton","Bruce J. Burton  / Glenn Burton","burton",50
"671",671,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Lauren Gillooly / Mike Buckley / Willam VanWaay",7,23,8,27,23,NA,NA,NA,61,"skanky gene","USA 1414",NA,NA,NA,"jay cross","Jay Cross  / Lauren Gillooly / Mike Buckley","cross",83
"672",672,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Eamonn deLisser / Jeff Dever",15,16,13,18,17,NA,NA,NA,61,"victory","USA 1373",NA,NA,NA,"buddy cribb","Buddy Cribb  / Eamonn deLisser","cribb",82
"673",673,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Jeff Linton / Chris Morgan",41,31,2,24,5,NA,NA,NA,62,"usa 1300","USA 1300",NA,NA,NA,"ernie pomerleau","Ernie Pomerleau  / Jeff Linton","pomerleau",298
"674",674,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Graham Sunderland / Amy Prime",6,19,19,21,37,NA,NA,NA,65,"strait dealer","GBR 1418",NA,NA,NA,"david franks","David Franks  / Graham Sunderland","franks",128
"675",675,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Alex Sachs / Martha Pitt / Aubrey Mayer",10,25,31,28,4,NA,NA,NA,67,"blackadder","CAN 1327",NA,NA,NA,"brian kamilar","Brian Kamilar  / Alex Sachs / Martha Pitt","kamilar",205
"676",676,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Shawn Burke / Mark Brink",8,35,23,23,13,NA,NA,NA,67,"usa 1363","USA 1363",NA,NA,NA,"michael goldfarb","Michael Goldfarb  / Shawn Burke","goldfarb",142
"677",677,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Tony Rey  / Chris Cantrick / Tom Lihan",28,15,22,22,14,NA,NA,NA,73,"efyra iii","GRE 1368",NA,NA,NA,"andreadis","Andreadis / Tony Rey  / Chris Cantrick","andreadis",NA
"678",678,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Jordan Smith / Eric Lawrence",20,44,15,7,32,NA,NA,NA,74,"annie","USA 1388",NA,NA,NA,"gary gilbert","Gary Gilbert  / Jordan Smith","gilbert",135
"679",679,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","David Burrows / Chris Lefferdink",31,40,10,29,7,NA,NA,NA,77,"lucky","USA 1355",NA,NA,NA,"bryon ehrhart","Bryon Ehrhart  / David Burrows","ehrhart",111
"680",680,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Steve Lacey / Wes Bemus",33,7,42,12,29,NA,NA,NA,81,"clean execution","USA 1305",NA,NA,NA,"bill abbott","Bill Abbott  / Steve Lacey","abbott",1
"681",681,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Watt Duffy / Dan Peckam",30,24,26,9,25,NA,NA,NA,84,"usa 1371","USA 1371",NA,NA,NA,"ken womack","Ken Womack  / Watt Duffy","womack",374
"682",682,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Andrew Macrae / Dirk Kneulman",39,14,39,4,28,NA,NA,NA,85,"cruel jane","NZL 1381",NA,NA,NA,"lorne leibel","Lorne Leibel  / Andrew Macrae","leibel",225
"683",683,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Richard Jarchow, Jr. / Scott Lindars",26,39,27,13,20,NA,NA,NA,86,"vertigo","USA 1055",NA,NA,NA,"christopher lanza","Christopher Lanza  / Richard Jarchow, Jr.","lanza",72
"684",684,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Ezra Culver / Ariel DeLisser / Kate Gunloch",5,37,30,34,21,NA,NA,NA,90,"nemesis","USA 1307",NA,NA,NA,"jeff nehms","Jeff Nehms  / Ezra Culver / Ariel DeLisser","nehms",276
"685",685,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Schuyler Needham / Peter Needham",18,43,20,31,22,NA,NA,NA,91,"bad martha","USA 1195",NA,NA,NA,"connor needham","Connor Needham  / Schuyler Needham","needham",274
"686",686,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Gerri Whitley / Tom Dawson / David Lasky",42,17,29,14,34,NA,NA,NA,94,"ninkasi","USA 1126",NA,NA,NA,"richard kaiser","Richard Kaiser  / Gerri Whitley / Tom Dawson","kaiser",203
"687",687,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Chris Busch / Andreas Josenhans",24,32,35,20,19,NA,NA,NA,95,"tiburon","BER 1412",NA,NA,NA,"mark watson","Mark Watson  / Chris Busch","watson",364
"688",688,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Bryan Milne / Alex Baker",34,13,28,25,31,NA,NA,NA,97,"southern etchells","CAN 993",NA,NA,NA,"jerry wendt","Jerry Wendt  / Bryan Milne","wendt",367
"689",689,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Paul Garn / Greg Hryiecnich",36,21,11,40,33,NA,NA,NA,101,"caramba","USA 1405",NA,NA,NA,"jose fuentes","Jose Fuentes  / Paul Garn","fuentes",200
"690",690,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Tim Healy / Jared Henderson",35,26,25,37,15,NA,NA,NA,101,"usa 1225","USA 1225",NA,NA,NA,"jamie hilton","Jamie Hilton  / Tim Healy","hilton",166
"691",691,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Kevin Gillman / Tim Keyworth/Ciara Rodriguez",16,18,21,50,50,NA,NA,NA,105,"riva","USA 1221",NA,NA,NA,"robby hitchcock","Robby Hitchcock  / Kevin Gillman","hitchcock",168
"692",692,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Jack Sustronk / Phil Jager",43,36,32,16,27,NA,NA,NA,111,"3 blind mice","CAN 1379",NA,NA,NA,"paul sustronk","Paul Sustronk  / Jack Sustronk","sustronk",349
"693",693,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Mike hren / Breck Mcfarlane",32,34,18,30,36,NA,NA,NA,114,"rain","CAN 1247",NA,NA,NA,"allan leibel","Allan Leibel  / Mike hren","leibel",226
"694",694,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Fred Strammer / John Hartford / Nicole Popp",40,27,34,26,35,NA,NA,NA,122,"freedom","USA 1280",NA,NA,NA,"craig mense","Craig Mense  / Fred Strammer / John Hartford","mense",257
"695",695,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Robby Brown / Matt Shankweiler",29,33,38,38,24,NA,NA,NA,124,"lakota","USA 1224",NA,NA,NA,"peter sulick","Peter Sulick  / Robby Brown","sulick",348
"696",696,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Michael Norris / Jim Batts",23,46,14,44,50,NA,NA,NA,127,"athena","USA 1282",NA,NA,NA,"john donnelly","John Donnelly  / Michael Norris","donnelly",101
"697",697,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Kent Paisley / Darrell Suderman",25,30,41,41,41,NA,NA,NA,137,"1264","CAN 1264",NA,NA,NA,"erik yeo","Erik Yeo  / Kent Paisley","yeo",376
"698",698,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","J.B. Slater / Mike Lindsey",44,20,40,36,42,NA,NA,NA,138,"something good","USA 928",NA,NA,NA,"bill mauk","Bill Mauk  / J.B. Slater","mauk",242
"699",699,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Gabriele Armstrong / Bob Hurst / David Bannister",22,38,50,42,39,NA,NA,NA,141,"jeremiah","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / Gabriele Armstrong / Bob Hurst","pruitt",300
"700",700,"Etchells",2016,"http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444","Piana Cup (2015)","Andrew Cooke / Chris Brady",46,45,33,33,40,NA,NA,NA,151,"whirlwind","USA 1238",NA,NA,NA,"william fink","William Fink  / Andrew Cooke","fink",121
