"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"21",21,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Evan Aras / Alec Anderson / Wilson Stout",27,6,23,21,33,NA,NA,NA,77,"caramba","USA 1405",NA,NA,NA,"jose fuentes","Jose Fuentes  / Evan Aras / Alec Anderson","fuentes",200
"22",22,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Mark Tillinghast / Maru Urban / Daniel Top",8,21,36,31,18,NA,NA,NA,78,"dark n'stormy","USA 1262",NA,NA,NA,"edward tillinghast","Edward Tillinghast  / Mark Tillinghast / Maru Urban","tillinghast",357
"23",23,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","David Bedford / Duncan Truswell",32,15,11,29,27,NA,NA,NA,82,"exabyte 7","GBR 1437",NA,NA,NA,"shaun frohlich","Shaun Frohlich  / David Bedford","frohlich",131
"24",24,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Eric Dolye / Chuck Norris",40,23,31,17,14,NA,NA,NA,85,"gumption3","USA 1465",NA,NA,NA,"kevin grainger","Kevin Grainger  / Eric Dolye","grainger",147
"25",25,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Matt Reid / Tim Thubron",21,32,21,25,23,NA,NA,NA,90,"china wight","GBR 1417",NA,NA,NA,"nicholas stagg","Nicholas Stagg  / Matt Reid","stagg",341
"26",26,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Dirk Kneulman / Grant Simmer",13,28,49,14,38,NA,NA,NA,93,"tiburon","BER 1467",NA,NA,NA,"mark watson","Mark Watson  / Dirk Kneulman","watson",364
"27",27,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Matt Lamt Lalumiere / Mike Madigan / Elizabeth Mayes",19,27,35,30,17,NA,NA,NA,93,"marge","USA 1327",NA,NA,NA,"todd lalumiere","Todd Lalumiere  / Matt Lamt Lalumiere / Mike Madigan","lalumiere",217
"28",28,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","William Abbott / Peter Coleman",26,20,24,23,44,NA,NA,NA,93,"clean execution","USA 1305",NA,NA,NA,"michael gavin","Michael Gavin  / William Abbott","gavin",136
"29",29,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Mark Manfeild / Ben Cressford",39,37,16,9,35,NA,NA,NA,97,"desparate","GBR 1432",NA,NA,NA,"drake","Rob Tyrwhitt-Drake  / Mark Manfeild","drake",106
"30",30,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Paul Abdullah / Chris Clark",33,18,26,39,25,NA,NA,NA,102,"athena","USA 1282",NA,NA,NA,"john donnelly","John Donnelly  / Paul Abdullah","donnelly",101
"31",31,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Mauk / Raefel Melendez / Cory Sertl",23,49,10,34,36,NA,NA,NA,103,"something good","USA 928",NA,NA,NA,"ched proctor","Ched Proctor  / Bill Mauk / Raefel Melendez","proctor",299
"32",32,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Fred Strammer / Emily Dellenbaugh / John Parford",24,49,20,28,34,NA,NA,NA,106,"freedom","USA 1456",NA,NA,NA,"craig mense","Craig Mense  / Fred Strammer / Emily Dellenbaugh","mense",257
"33",33,"Etchell",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Monica Morgan / David Van Cleef / Dan Borrer",31,34,49,26,24,NA,NA,NA,115,"usa 1300","USA 1300",NA,NA,NA,"chris morgan","Chris Morgan  / Monica Morgan / David Van Cleef","morgan",263
"34",34,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Irek Zubko / Andrew Rogers",41,29,49,19,31,NA,NA,NA,120,"southern etchells","CAN 993",NA,NA,NA,"jerry wendt","Jerry Wendt  / Irek Zubko","wendt",367
"35",35,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Watt Duffy / Dan Peckham",25,33,27,35,41,NA,NA,NA,120,"usa 1371","USA 1371",NA,NA,NA,"ken womack","Ken Womack  / Watt Duffy","womack",374
"36",36,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Gerri Whitle / Amy Baxter / Collene Duncan",29,26,28,37,39,NA,NA,NA,120,"ninkasi","USA 1126",NA,NA,NA,"rick kaiser","Rick Kaiser  / Gerri Whitle / Amy Baxter","kaiser",203
"37",37,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Kent Paisley / Andrew MacLone",35,30,22,38,37,NA,NA,NA,124,"proudest monkey","CAN 1010",NA,NA,NA,"robert hitchcock","Robert Hitchcock  / Kent Paisley","hitchcock",168
"38",38,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Tom Dawson / Rob Scrivenor",42,24,40,32,29,NA,NA,NA,125,"shades","USA 907",NA,NA,NA,"ed kriese","Ed Kriese  / Tom Dawson","kriese",214
"39",39,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Rachel Daye / Chris Manson-Hing / Sam Tobio",49,36,25,44,21,NA,NA,NA,126,"usa youth team blue","USA 1145",NA,NA,NA,"sean cornell","Sean Cornell  / Rachel Daye / Chris Manson-Hing","cornell",79
"40",40,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Jeff Bonnanni / Eammon Delisser / Danielle Septembre",38,40,32,43,26,NA,NA,NA,136,"mary ann","USA 139",NA,NA,NA,"shumaker","Peter E. Shumaker  / Jeff Bonnanni / Eammon Delisser","shumaker",328
"41",41,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brendan Healy / Reed Baldridge / Eliot Caple",36,38,49,33,32,NA,NA,NA,139,"leading edge","USA 1090",NA,NA,NA,"jeff dever","Jeff Dever  / Brendan Healy / Reed Baldridge","dever",97
