"","bow","sail number","yacht name","yacht design","skipper/crew","race1","race2","race3","race4","race5","to","total","year","url","name","race6","race7","race8","owner/skipper","place","#","other #","boat name","owner","race 1","race 2","race 3","race 4","race 5","race 6","bow #","sail #","race 7","pos","bow/sail","boat","skipper","1","2","3","4","totalpoints","race 8","sail#","bow#","r1","r2","r3","r4","r5","r6","throwouttotal pts","crew","club","5","6","7","8","race 1 pts","race 2 pts","total points","pts","from","ttl","pl.","total
points","total
 points","throwout total pts","r 1","r 2","r 3","r 4","r 5","r 6","r 7","r 8"
"13","96","USA 1296","MB III","Etchells","Jamie Hilton  / Randy Borges / Chris Snow / Taylor Borges","11","4","19","36","15","[36]","49.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","15","USA 1415","La Tormenta","Etchells","Shannon W Bush  / Brad Boston / Curtis Florence / David Hide","3","16","14","27","20","[27]","53.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","98","USA 1398","Firing Line","Etchells","Bruce Burton  / Jon Easley / Ben Lamb","28","8","49/UFD","2","16","[49]","54.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","77","USA 1177","Skanky Gene","Etchells","Jay Cross  / Eric Shampain / Cy Thompson / Michael Buckley","16","25","7","8","30","[30]","56.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","59","GBR 1468","Strait Dealer USA","Etchells","David Franks  / Graham Sunderland / Mark Lees / Hannah Peters","7","39","13","20","19","[39]","59.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","79","USA 979","KGB","Etchells","Senet Bischoff  / Clay Bischoff / Bejamin Kinney","17","14","12","18","28","[28]","61.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","51","CAN 1451","Blackadder II","Etchells","Andrew Cumming  / Will Felder / Brian Kamilar / Nikki Medley","30","49/UFD","17","16","4","[49]","67.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","3","USA 1259","USA Youth Team Red","Etchells","Connor Needham  / Brooks Daley / Jimmy Kennedy / Frances Schulte","22","10","33","22","22","[33]","76.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","40","USA 1405","Caramba","Etchells","Jose Fuentes  / Evan Aras / Alec Anderson / Wilson Stout","27","6","23","21","33","[33]","77.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","62","USA 1262","Dark N'Stormy","Etchells","Edward Tillinghast  / Mark Tillinghast / Maru Urban / Daniel Top","8","21","36","31","18","[36]","78.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","37","GBR 1437","Exabyte 7","Etchells","Shaun Frohlich  / David Bedford / Duncan Truswell","32","15","11","29","27","[32]","82.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
