"","competitorID","regattaID","day","rating"
"1","142","Initial Value",0,1000
"2","304","Initial Value",0,1000
"3","53","Initial Value",0,1000
"4","29","Initial Value",0,1000
"5","338","Initial Value",0,1000
"6","103","Initial Value",0,1000
"7","357","Initial Value",0,1000
"8","363","Initial Value",0,1000
"9","166","Initial Value",0,1000
"10","206","Initial Value",0,1000
"11","364","Initial Value",0,1000
"12","102","Initial Value",0,1000
"13","88","Initial Value",0,1000
"14","83","Initial Value",0,1000
"15","33","Initial Value",0,1000
"16","237","Initial Value",0,1000
"17","217","Initial Value",0,1000
"18","127","Initial Value",0,1000
"19","382","Initial Value",0,1000
"20","274","Initial Value",0,1000
"21","299","Initial Value",0,1000
"22","257","Initial Value",0,1000
"23","374","Initial Value",0,1000
"24","136","Initial Value",0,1000
"25","200","Initial Value",0,1000
"26","50","Initial Value",0,1000
"27","203","Initial Value",0,1000
"28","86","Initial Value",0,1000
"29","263","Initial Value",0,1000
"30","131","Initial Value",0,1000
"31","101","Initial Value",0,1000
"32","300","Initial Value",0,1000
"33","168","Initial Value",0,1000
"34","97","Initial Value",0,1000
"35","149","Initial Value",0,1000
"36","328","Initial Value",0,1000
"37","106","Initial Value",0,1000
"38","147","Initial Value",0,1000
"39","367","Initial Value",0,1000
"40","214","Initial Value",0,1000
"41","276","Initial Value",0,1000
"42","67","Initial Value",0,1000
"43","186","Initial Value",0,1000
"44","301","Initial Value",0,1000
"45","79","Initial Value",0,1000
"46","142","73",73,3982
"47","304","73",73,4360
"48","53","73",73,2722
"49","29","73",73,4990
"50","338","73",73,2764
"51","103","73",73,3730
"52","357","73",73,1294
"53","363","73",73,3436
"54","166","73",73,2554
"55","206","73",73,4654
"56","364","73",73,391
"57","102","73",73,4318
"58","88","73",73,4570
"59","83","73",73,2470
"60","33","73",73,2344
"61","237","73",73,4192
"62","217","73",73,748
"63","127","73",73,3226
"64","382","73",73,1042
"65","274","73",73,1588
"66","299","73",73,-92
"67","257","73",73,-176
"68","374","73",73,-596
"69","136","73",73,412
"70","200","73",73,1546
"71","50","73",73,1945
"72","203","73",73,-512
"73","86","73",73,1378
"74","263","73",73,-491
"75","131","73",73,1336
"76","101","73",73,244
"77","300","73",73,-2234
"78","168","73",73,-638
"79","97","73",73,-1499
"80","149","73",73,-1940
"81","328","73",73,-1310
"82","106","73",73,412
"83","147","73",73,832
"84","367","73",73,-743
"85","214","73",73,-806
"86","276","73",73,-2507
"87","67","73",73,-1940
"88","186","73",73,-2696
"89","301","73",73,-3200
"90","79","73",73,-1100
"91","142","73",73,3547.66747684782
"92","304","73",73,3822.07573597262
"93","53","73",73,2148.72176978916
"94","29","73",73,4416.36670529681
"95","338","73",73,2181.82129278847
"96","103","73",73,3286.72602060361
"97","357","73",73,983.876154970267
"98","363","73",73,2943.66287809542
"99","166","73",73,2032.51071094176
"100","206","73",73,4030.05574193008
"101","364","73",73,527.366215760438
"102","102","73",73,3796.60015936226
"103","88","73",73,3961.2342533593
"104","83","73",73,1975.30597896923
"105","33","73",73,1876.91385941818
"106","237","73",73,3716.02635697915
"107","217","73",73,659.286233661339
"108","127","73",73,2691.5724250855
"109","382","73",73,853.289056662646
"110","274","73",73,1113.80862031044
"111","299","73",73,141.360006889073
"112","257","73",73,72.7926397579146
"113","374","73",73,-58.8451713730134
"114","136","73",73,474.284601103151
"115","200","73",73,1089.70650515533
"116","50","73",73,1549.0594772812
"117","203","73",73,-47.5162305170794
"118","86","73",73,1058.35025287173
"119","263","73",73,-30.4547688301153
"120","131","73",73,1000.38003295305
"121","101","73",73,391.598919880331
"122","300","73",73,-1497.12918224021
"123","168","73",73,-63.5322341551887
"124","97","73",73,-748.611326309446
"125","149","73",73,-1185.1181420875
"126","328","73",73,-484.049518756341
"127","106","73",73,474.284601103151
"128","147","73",73,714.600296511204
"129","367","73",73,-93.8765474363663
"130","214","73",73,-98.2752773057382
"131","276","73",73,-1914.66494751703
"132","67","73",73,-1185.1181420875
"133","186","73",73,-2043.3759858412
"134","301","73",73,-2795.87562404364
"135","79","73",73,-284.861881810265
"136","142","73",73,3050.3602694936
"137","304","73",73,3289.66186429959
"138","53","73",73,1626.96470140988
"139","29","73",73,3838.96762327316
"140","338","73",73,1656.78383740944
"141","103","73",73,2818.10382163064
"142","357","73",73,703.058219441328
"143","363","73",73,2448.45541856128
"144","166","73",73,1512.28860691793
"145","206","73",73,3475.45589400177
"146","364","73",73,520.531864373274
"147","102","73",73,3263.49236239366
"148","88","73",73,3420.16749271143
"149","83","73",73,1456.23730545111
"150","33","73",73,1372.44635411151
"151","237","73",73,3185.83923204892
"152","217","73",73,621.03748549173
"153","127","73",73,2167.80212232975
"154","382","73",73,633.089453530369
"155","274","73",73,840.427231426285
"156","299","73",73,554.292833372621
"157","257","73",73,584.774822168231
"158","374","73",73,438.200421494975
"159","136","73",73,560.430383836938
"160","200","73",73,824.379629369792
"161","50","73",73,1126.83730884207
"162","203","73",73,500.89698739512
"163","86","73",73,734.179570268696
"164","263","73",73,494.36347269574
"165","131","73",73,723.25432221825
"166","101","73",73,515.328383558216
"167","300","73",73,-778.689790178939
"168","168","73",73,404.971689302823
"169","97","73",73,5.94622177509677
"170","149","73",73,-438.524411673845
"171","328","73",73,228.103516136575
"172","106","73",73,560.430383836938
"173","147","73",73,623.804805232539
"174","367","73",73,352.368544232351
"175","214","73",73,300.940463566578
"176","276","73",73,-1281.49661801053
"177","67","73",73,-438.524411673845
"178","186","73",73,-1406.27066581059
"179","301","73",73,-2380.06844804861
"180","79","73",73,288.899425786163
"181","142","73",73,2526.7116695136
"182","304","73",73,2759.15748291949
"183","53","73",73,1124.84884060681
"184","29","73",73,3272.90532295748
"185","338","73",73,1152.93443982955
"186","103","73",73,2320.1360286506
"187","357","73",73,1081.27693408839
"188","363","73",73,1948.94389648048
"189","166","73",73,1025.24730713429
"190","206","73",73,2941.7787795571
"191","364","73",73,1036.52128818614
"192","102","73",73,2735.41951385984
"193","88","73",73,2885.2979567368
"194","83","73",73,980.075214963894
"195","33","73",73,914.433329148244
"196","237","73",73,2662.23843073675
"197","217","73",73,893.607832418363
"198","127","73",73,1652.12547208931
"199","382","73",73,1132.81999447065
"200","274","73",73,886.212472845808
"201","299","73",73,352.252687357199
"202","257","73",73,130.595427525076
"203","374","73",73,392.304621798603
"204","136","73",73,839.271863888575
"205","200","73",73,892.764483285446
"206","50","73",73,817.263955012054
"207","203","73",73,193.605560330914
"208","86","73",73,1059.10299624946
"209","263","73",73,271.012935674828
"210","131","73",73,1041.52793534325
"211","101","73",73,882.596781123347
"212","300","73",73,-63.8200691704027
"213","168","73",73,491.935217747633
"214","97","73",73,564.682024620637
"215","149","73",73,285.421268465187
"216","328","73",73,426.924606833892
"217","106","73",73,839.271863888576
"218","147","73",73,964.978058897714
"219","367","73",73,594.234675186028
"220","214","73",73,714.225134967754
"221","276","73",73,-638.839826176921
"222","67","73",73,285.421268465187
"223","186","73",73,-767.600150662198
"224","301","73",73,-1961.24094207177
"225","79","73",73,459.415414226362
"226","29","73",73,2719.81170837661
"227","29","Initial Value",0,1000
"228","88","73",73,2355.854993929
"229","88","Initial Value",0,1000
"230","227","Initial Value",0,1000
"231","83","73",73,1819.97718290565
"232","83","Initial Value",0,1000
"233","103","73",73,1806.47755223619
"234","103","Initial Value",0,1000
"235","287","Initial Value",0,1000
"236","50","73",73,2128.06442485186
"237","50","Initial Value",0,1000
"238","109","Initial Value",0,1000
"239","53","73",73,1451.28967907163
"240","53","Initial Value",0,1000
"241","200","73",73,1314.99390254139
"242","200","Initial Value",0,1000
"243","206","73",73,2409.35258936979
"244","206","Initial Value",0,1000
"245","86","73",73,412.205985977664
