"","competitorID","regattaID","day","rating"
"1","263","73",73,1602.36425966154
"2","67","73",73,163.574905107455
"3","34","74",74,921.454902173596
"4","308","74",74,243.133314749005
"5","79","75",75,1008.08829103565
"6","304","75",75,2365.46482358636
"7","25","76",76,3263.51665208626
"8","371","76",76,-1391.01761235816
"9","357","76",76,-1200.22877257312
"10","301","76",76,-1526.81013079359
"11","256","76",76,3910.49325869112
"12","77","76",76,1031.42954598322
"13","2","76",76,-1192.23359449255
"14","186","76",76,-1676.4733154801
"15","149","76",76,-741.672198354481
"16","98","77",77,2305.51738818151
"17","224","77",77,470.113300259834
"18","281","77",77,-553.846149720183
"19","167","77",77,832.446596370845
"20","27","77",77,-405.210013872326
"21","232","77",77,1234.85482375999
"22","264","77",77,-129.49137835189
"23","284","68",68,2574.50250710761
"24","377","68",68,604.816820481783
"25","51","69",69,2840.53718435164
"26","303","70",70,4039.55602960335
"27","334","70",70,545.080547859044
"28","103","71",71,2617.94169713054
"29","266","71",71,-567.196160461477
"30","214","71",71,-289.945058738646
"31","199","72",72,218.612849364393
"32","173","64",64,2559.22685065457
"33","250","64",64,1033.53904769985
"34","151","64",64,1156.21871883691
"35","102","65",65,2065.49686582097
"36","251","65",65,1922.99222511903
"37","336","66",66,2955.30759785531
"38","106","66",66,-211.74124916079
"39","270","66",66,-1178.90914492312
"40","313","66",66,-1439.45237733884
"41","228","58",58,27.6482883243966
"42","118","59",59,1912.07240074718
"43","376","59",59,-763.144519956143
"44","381","59",59,1054.78985970822
"45","223","60",60,3284.58412847605
"46","121","60",60,1611.27478098162
"47","163","61",61,3275.19502855409
"48","159","61",61,-1253.6796294015
"49","341","61",61,959.087589424062
"50","287","62",62,1248.36934390687
"51","246","62",62,3378.71092812658
"52","219","62",62,424.022241849792
"53","3","62",62,246.990692272341
"54","225","62",62,479.194938277211
"55","262","53",53,1981.1237687934
"56","255","53",53,894.484474645166
"57","319","54",54,252.957895070297
"58","325","55",55,624.519690932721
"59","382","56",56,557.318041649021
"60","355","56",56,2571.23008878345
"61","166","56",56,362.292291277131
"62","274","56",56,304.725275392601
"63","15","56",56,771.107711109247
"64","271","57",57,1198.75377321249
"65","1","57",57,988.703408291177
"66","176","50",50,-3097.50337649419
"67","66","51",51,4616.97741386514
"68","311","51",51,3255.37426874219
"69","64","51",51,2790.17530187436
"70","174","51",51,-1640.39192952649
"71","239","51",51,2326.01680431799
"72","49","51",51,396.951566183751
"73","247","52",52,3212.1087924679
"74","192","52",52,3811.39059317484
"75","29","52",52,3128.13089490894
"76","83","52",52,850.898645560942
"77","155","52",52,211.167758140891
"78","238","52",52,2795.93165089192
"79","152","52",52,2404.03573619996
"80","141","52",52,-707.598092410032
"81","205","44",44,599.164987576381
"82","131","44",44,145.046567333453
"83","198","45",45,-382.6099472878
