"","name","regatta_id","day","url","year"
"19536","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19537","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19538","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19539","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19540","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19541","US Nationals & Coral Reef Cup",42,42,"http://www.etchellsfleet20.org/results/2012/2012CRC.html",2012
"19542","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19543","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19544","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19545","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19546","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19547","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19548","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19549","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19550","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19551","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19552","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19553","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19554","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19555","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19556","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19557","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19558","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19559","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19560","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19561","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19562","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19563","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19564","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19565","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19566","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19567","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19568","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19569","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19570","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19571","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19572","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19573","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19574","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19575","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19576","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19577","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19578","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19579","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19580","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19581","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19582","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19583","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19584","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19585","Piana Cup (2010)",33,33,"http://www.etchellsfleet20.org/results/2011/2011Piana.html",2011
"19586","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19587","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19588","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19589","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19590","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19591","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19592","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19593","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19594","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19595","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19596","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19597","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19598","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19599","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19600","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19601","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19602","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19603","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19604","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19605","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19606","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19607","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19608","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19609","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19610","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19611","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19612","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19613","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19614","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19615","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19616","Sid Doren Memorial",34,34,"http://www.etchellsfleet20.org/results/2011/2011Doren.html",2011
"19617","Florida State Championship",35,35,"http://www.etchellsfleet20.org/results/2011/2011FLS.html",2011
"19618","Florida State Championship",35,35,"http://www.etchellsfleet20.org/results/2011/2011FLS.html",2011
"19619","Florida State Championship",35,35,"http://www.etchellsfleet20.org/results/2011/2011FLS.html",2011
