"","competitorID","competitorName"
"210",345,"robert stevens"
"211",16,"frank atkinson"
"212",254,"chris medland"
"213",115,"ian evans"
"214",74,"chris clark"
"215",368,"phil wherheim"
"216",373,"kurt winkelmann"
"217",329,"skip shumway"
"218",318,"stefano sabbadini"
"219",323,"peter schumaker"
"220",164,"rupert henry"
"221",6,"peter allen"
"222",344,"mark steinmetz"
"223",210,"womack ken"
"224",185,"huddleston james"
"225",317,"thompson ron"
"226",93,"dawson tom"
"227",183,"tom hughes"
"228",145,"colin gordon"
"229",80,"dan coughlin"
"230",37,"kevin boyle"
"231",76,"kers clausen"
"232",133,"jerry fulp"
"233",91,"henrik dannesboe"
"234",89,"dave cunningham"
"235",352,"allan terhune"
"236",58,"campbell"
"237",229,"jeff linton"
"238",294,"randall pittman"
"239",375,"robert wray"
"240",96,"ward detweiler"
"241",43,"stuart bruce"
"242",137,"chris gerards"
"243",31,"jack bernhardt"
"244",277,"shane o'neill"
"245",52,"chris busch"
"246",286,"justin palm"
"247",120,"bill fastiggi"
"248",213,"john kolius"
"249",182,"james hudleston"
"250",158,"lamont harris"
"251",85,"steve cucchiaro"
"252",216,"alex lacy"
"253",154,"jay hansen"
"254",178,"tim hothkiss"
"255",343,"gretchen kinsey"
"256",332,"russ silvester"
"257",330,"richard sidell"
"258",165,"ralph hertz"
"259",63,"dennis carriere"
"260",78,"andrew connell"
"261",84,"rick crow"
"262",310,"kirk reynolds"
"263",279,"jim nichols"
"264",81,"chuck coyer"
"265",195,"hugh jones"
"266",95,"sebastian desantis"
"267",44,"vince brun"
"268",157,"ray harrington"
"269",253,"lawrence mead"
"270",42,"rob brown"
"271",260,"justin miller"
"272",347,"oscar strugstad"
"273",134,"phil garland"
"274",218,"hank lammons"
"275",126,"fox"
"276",372,"simon williams"
"277",339,"tim keyworth"
"278",160,"stuart hebb"
"279",212,"paul koeller"
"280",258,"richard merriweather"
"281",71,"henry chau"
"282",316,"gary ross"
"283",378,"tony young"
"284",235,"byron marchant"
"285",48,"russ burke"
"286",196,"ted jones"
"287",278,"martin o'neill"
"288",18,"joseph bainton"
"289",370,"roger wickens"
"290",14,"cameron appleton"
"291",230,"jeffrey littell"
"292",379,"donald young"
"293",273,"mike nccann"
"294",68,"ted castle"
"295",302,"david pyles"
"296",60,"ben capuco"
"297",340,"kidd"
"298",41,"paige brooks"
"299",249,"tim mckegney"
"300",90,"dave curtis"
"301",356,"michael till"
"302",209,"paul kelsey"
"303",221,"chris larson"
"304",73,"kasper christoffersen"
"305",241,"chester maudslay"
"306",146,"adam gosling"
"307",222,"tim law"
"308",105,"robbie doyle"
"309",30,"jeff bennert"
"310",38,"tracy brand"
"311",353,"jerry thomason"
"312",346,"j.d. stone"
"313",358,"jervis tilly"
"314",19,"charles baker"
"315",150,"richard grunsten"
"316",20,"nathan ballard"
"317",380,"rusty bodden & tim yourieff"
"318",320,"robert schleshinger"
"319",28,"robert bell"
"320",245,"jack mccarthy"
"321",187,"john jansheski"
"322",125,"bill fortenberry"
"323",107,"noel drennan"
"324",114,"cordelia ellis"
"325",59,"jim capron"
"326",282,"harald orneberg"
"327",202,"philippe kahn"
"328",138,"andy giglia"
"329",40,"tim britton"
"330",69,"sylvan chaix"
"331",169,"dick hodgeson"
"332",307,"ken read"
"333",359,"mike toppa"
"334",197,"hugh jones"
"335",290,"art perez"
"336",112,"geoff eisele"
"337",269,"eben moulton"
"338",21,"jim batts"
"339",267,"morrison"
"340",75,"clark"
"341",55,"callahan"
"342",283,"hal ostrom"
"343",10,"giles anderson"
"344",204,"greg kameika"
"345",87,"andrew cumming"
"346",333,"paul sistronk"
"347",56,"jim callahan"
"348",92,"bill davis"
"349",116,"ganson evans"
"350",70,"chambers"
"351",22,"ken batzer"
"352",161,"john heineman"
"353",289,"james patton"
