"","competitorID","regattaID","day","rating"
"194","140","Initial Value",0,1500
"195","361","4",4,1491
"196","290","Initial Value",0,1500
"197","111","4",4,1488.51175754063
"198","346","5",5,1496.63737889551
"199","135","4",4,1488.51175754063
"200","197","4",4,1491
"201","320","5",5,1496.63737889551
"202","297","5",5,1491
"203","123","5",5,1490.66956792811
"204","203","4",4,1491
"205","211","4",4,1528.09800420092
"206","369","5",5,1488.18132406971
"207","340","5",5,1496.63737889551
"208","97","5",5,1488.18132406971
"209","370","5",5,1488.18132406971
"210","282","4",4,1491
"211","339","5",5,1491
"212","69","5",5,1496.63737889551
"213","81","5",5,1496.63737889551
"214","358","5",5,1490.66956792811
"215","345","Initial Value",0,1500
"216","169","5",5,1490.66956792811
"217","101","4",4,1493.64831083699
"218","374","5",5,1496.63737889551
"219","276","5",5,1496.63737889551
"220","372","5",5,1496.63737889551
"221","5","5",5,1496.63737889551
"222","335","5",5,1491
"223","288","5",5,1491
"224","165","5",5,1488.18132406971
"225","269","Initial Value",0,1500
"226","112","2",2,1497
"227","373","Initial Value",0,1500
"228","150","Initial Value",0,1500
"229","36","3",3,1494
"230","337","5",5,1532.81867593029
"231","317","6",6,1488.23339037921
"232","135","6",6,1486.2058867996
"233","307","6",6,1538.28592085143
"234","140","6",6,1497
"235","197","6",6,1488.5438640855
"236","28","5",5,1491
"237","109","4",4,1493.64831083699
"238","292","6",6,1485.89540321828
"239","134","4",4,1491
"240","359","6",6,1497
"241","203","6",6,1488.5438640855
"242","105","6",6,1497
"243","361","6",6,1488.5438640855
"244","200","5",5,1496.63737889551
"245","123","6",6,1488.23339037921
"246","346","6",6,1493.84061898187
"247","344","4",4,1491
"248","374","6",6,1493.84061898187
"249","101","6",6,1491.03218232288
"250","160","5",5,1488.18132406971
"251","168","5",5,1493.47797123746
"252","293","6",6,1485.89540321828
"253","345","6",6,1497
"254","111","6",6,1486.2058867996
"255","340","6",6,1493.84061898187
"256","169","6",6,1488.23339037921
"257","370","6",6,1485.89540321828
"258","21","Initial Value",0,1500
"259","372","6",6,1493.84061898187
"260","76","3",3,1494
"261","358","6",6,1488.23339037921
"262","339","6",6,1488.5438640855
"263","97","6",6,1485.89540321828
"264","82","5",5,1488.18132406971
"265","138","5",5,1496.63737889551
"266","40","5",5,1496.63737889551
"267","373","6",6,1497
"268","190","5",5,1490.66956792811
"269","265","Initial Value",0,1500
"270","81","6",6,1493.84061898187
"271","369","6",6,1485.89540321828
"272","150","6",6,1497
"273","320","6",6,1493.84061898187
"274","269","6",6,1497
"275","112","6",6,1494.18132406971
"276","297","6",6,1488.5438640855
"277","165","6",6,1485.89540321828
"278","50","4",4,1491
"279","222","Initial Value",0,1500
"280","38","Initial Value",0,1500
"281","203","7",7,1488.20556786825
"282","353","Initial Value",0,1500
"283","82","7",7,1487.86458591663
"284","135","7",7,1486.00651381568
"285","297","7",7,1488.20556786825
"286","30","Initial Value",0,1500
"287","242","Initial Value",0,1500
"288","231","Initial Value",0,1500
"289","361","7",7,1488.20556786825
"290","111","7",7,1486.00651381568
"291","369","7",7,1485.71446077178
"292","293","7",7,1485.71446077178
"293","134","7",7,1490.5155042886
"294","183","Initial Value",0,1500
"295","370","7",7,1485.71446077178
"296","115","Initial Value",0,1500
"297","337","7",7,1569.13850979978
"298","339","7",7,1488.20556786825
"299","201","4",4,1491
"300","288","6",6,1488.5438640855
