"","competitorID","regattaID","day","rating"
"243","University of Rhode Island","19",17810,1077.18084211564
"244","Boston University","19",17810,1071.66604772548
"245","U. S. Coast Guard Academy","17",17810,1046.50999139953
"246","Roger Williams University","19",17810,1252.28803010425
"247","Yale University","19",17810,1070.23491216229
"248","Tufts University","20",17810,1177.71465801871
"249","University of Vermont","20",17810,1112.97116459705
"250","Connecticut College","19",17810,1030.79148150869
"251","Massachusetts Institute of Technology","17",17810,1050.01649631545
"252","University of Vermont","22",17817,1051.7470694414
"253","Bowdoin College","19",17810,1175.62365403347
"254","Massachusetts Maritime Academy","20",17810,814.780082924576
"255","Northeastern University","19",17810,927.453816988077
"256","Maine Maritime Academy","15",17803,905.866642252959
"257","Tufts University","22",17817,1117.19611823173
"258","Middlebury College","16",17803,760.679869980687
"259","University of Vermont","23",17817,1096.85533719123
"260","Salve Regina University","20",17810,1124.22650398692
"261","McGill University","19",17810,856.539761069295
"262","Yale University","22",17817,1061.8963499102
"263","University of Massachusetts at Amherst","16",17803,707.688797668003
"264","Bates College","20",17810,866.270529917866
"265","Fairfield University","12",17796,955.799791701354
"266","Wesleyan University","19",17810,845.043696132286
"267","Sacred Heart University","16",17803,940.782115515727
"268","Middlebury College","23",17817,733.527354432692
"269","Yale University","24",17817,1057.33928798708
"270","Bowdoin College","23",17817,1181.8034832581
"271","Massachusetts Institute of Technology","22",17817,967.698388354784
"272","Boston College","21",17851,1320.75745977369
"273","Brown University","20",17810,1259.31728025222
"274","Roger Williams University","22",17817,1211.12846480481
"275","Harvard University","22",17817,1312.05099694773
"276","U. S. Coast Guard Academy","22",17817,1085.22714191138
"277","Dartmouth College","22",17817,1160.64260275931
"278","Tufts University","23",17817,1051.85582632559
"279","Boston University","22",17817,1122.8985742939
"280","Connecticut College","22",17817,974.108992016224
"281","University of Vermont","24",17817,1144.70076352268
"282","Northeastern University","23",17817,933.778773691189
"283","Massachusetts Maritime Academy","23",17817,859.650230448961
"284","University of Rhode Island","22",17817,1146.75791119641
"285","University of Rhode Island","26",17824,1089.85420390527
"286","Boston University","25",17824,1032.84226374073
"287","Roger Williams University","25",17824,1195.64868423136
"288","Boston College","25",17824,1315.96855778294
"289","Bowdoin College","25",17824,1254.72718928289
"290","Northeastern University","26",17824,943.715667093645
"291","U. S. Coast Guard Academy","25",17824,1065.87679713519
"292","Yale University","25",17824,1185.69269235808
"293","Dartmouth College","25",17824,1099.68346875913
"294","Brown University","25",17824,1250.42774139179
"295","Tufts University","25",17824,1001.69485348425
"296","Massachusetts Institute of Technology","25",17824,1078.74396397216
"297","University of Vermont","26",17824,1148.0360539234
"298","Connecticut College","26",17824,1018.92027710032
"299","Harvard University","25",17824,1249.41329453007
"300","Salve Regina University","24",17817,1146.46330769938
"301","Massachusetts Maritime Academy","26",17824,858.470468852833
"302","Maine Maritime Academy","23",17817,895.876248505126
